Ecoregion,Average_Probability
Baluchistan_xeric_woodlands,0.16666666666666666
Andaman_Islands_rain_forests,1.0
Chhota_Nagpur_dry_deciduous_forests,1.0
Central_Tibetan_Plateau_alpine_steppe,0.10526315789473684
Central_Deccan_Plateau_dry_deciduous_forests,0.75
Brahmaputra_Valley_semi_evergreen_forests,0.65
Aravalli_west_thorn_scrub_forests,0.35
Chin_Hills_Arakan_Yoma_montane_forests,1.0
Eastern_Himalayan_alpine_shrub_and_meadows,0.17647058823529413
Eastern_Himalayan_broadleaf_forests,0.25
Deccan_thorn_scrub_forests,1.0
Himalayan_subtropical_broadleaf_forests,0.95
East_Deccan_dry_evergreen_forests,1.0
East_Deccan_moist_deciduous_forests,0.95
Eastern_Himalayan_subalpine_conifer_forests,0.0
Godavari_Krishna_mangroves,1.0
Himalayan_subtropical_pine_forests,0.35
Lower_Gangetic_Plains_moist_deciduous_forests,1.0
Malabar_Coast_moist_forests,1.0
Karakoram_West_Tibetan_Plateau_alpine_steppe,0.0
Khathiar_Gir_dry_deciduous_forests,0.6
Meghalaya_subtropical_forests,0.55
Mizoram_Manipur_Kachin_rain_forests,0.55
Indus_River_Delta_Arabian_Sea_mangroves,1.0
Northeast_Himalayan_subalpine_conifer_forests,0.0
Northeast_India_Myanmar_pine_forests,0.55
Nicobar_Islands_rain_forests,1.0
Northern_Triangle_temperate_forests,0.36363636363636365
Maldives_Lakshadweep_Chagos_Archipelago_tropical_moist_forests,0
Northwestern_Himalayan_alpine_shrub_and_meadows,0.0
North_Deccan_dry_deciduous_forests,0.95
North_Western_Ghats_moist_deciduous_forests,1.0
North_Tibetan_Plateau_Kunlun_Mountains_alpine_desert,0.0
North_Western_Ghats_montane_rain_forests,0.95
Orissa_semi_evergreen_forests,1.0
South_Deccan_Plateau_dry_deciduous_forests,0.9
Sundarbans_freshwater_swamp_forests,1.0
South_Western_Ghats_moist_deciduous_forests,0.8
South_Western_Ghats_montane_rain_forests,0.9
Sundarbans_mangroves,1.0
Terai_Duar_savanna_and_grasslands,1.0
Thar_desert,0.2
Western_Himalayan_broadleaf_forests,0.3
Western_Himalayan_alpine_shrub_and_meadows,0.1
Upper_Gangetic_Plains_moist_deciduous_forests,0.9
Western_Himalayan_subalpine_conifer_forests,0.05
Narmada_Valley_dry_deciduous_forests,0.6842105263157895
Rann_of_Kutch_seasonal_salt_marsh,0.5294117647058824
Brahmaputra_Valley_semi_evergreen_forests,0.8
Aravalli_west_thorn_scrub_forests,0.23076923076923078
Andaman_Islands_rain_forests,1.0
Chin_Hills_Arakan_Yoma_montane_forests,0.95
Central_Tibetan_Plateau_alpine_steppe,0.05555555555555555
Baluchistan_xeric_woodlands,0.0
Central_Deccan_Plateau_dry_deciduous_forests,0.9
Chhota_Nagpur_dry_deciduous_forests,0.9
Eastern_Himalayan_alpine_shrub_and_meadows,0.2631578947368421
Deccan_thorn_scrub_forests,1.0
East_Deccan_dry_evergreen_forests,0.95
East_Deccan_moist_deciduous_forests,1.0
Eastern_Himalayan_broadleaf_forests,0.65
Godavari_Krishna_mangroves,1.0
Himalayan_subtropical_broadleaf_forests,0.85
Eastern_Himalayan_subalpine_conifer_forests,0.05
Karakoram_West_Tibetan_Plateau_alpine_steppe,0.0
Himalayan_subtropical_pine_forests,0.4
Lower_Gangetic_Plains_moist_deciduous_forests,1.0
Khathiar_Gir_dry_deciduous_forests,0.5
Meghalaya_subtropical_forests,0.8
Malabar_Coast_moist_forests,0.95
Narmada_Valley_dry_deciduous_forests,0.65
Northeast_India_Myanmar_pine_forests,0.55
Northeast_Himalayan_subalpine_conifer_forests,0.0
Nicobar_Islands_rain_forests,1.0
Mizoram_Manipur_Kachin_rain_forests,0.7
Northern_Triangle_temperate_forests,0.0
Indus_River_Delta_Arabian_Sea_mangroves,0.9230769230769231
Maldives_Lakshadweep_Chagos_Archipelago_tropical_moist_forests,0
Northwestern_Himalayan_alpine_shrub_and_meadows,0.0
North_Deccan_dry_deciduous_forests,0.95
Orissa_semi_evergreen_forests,0.9
North_Western_Ghats_moist_deciduous_forests,0.95
North_Tibetan_Plateau_Kunlun_Mountains_alpine_desert,0.058823529411764705
North_Western_Ghats_montane_rain_forests,1.0
Rann_of_Kutch_seasonal_salt_marsh,0.4117647058823529
South_Western_Ghats_montane_rain_forests,0.95
South_Deccan_Plateau_dry_deciduous_forests,0.8
South_Western_Ghats_moist_deciduous_forests,0.9
Sundarbans_mangroves,1.0
Sundarbans_freshwater_swamp_forests,1.0
Terai_Duar_savanna_and_grasslands,1.0
Thar_desert,0.0
Upper_Gangetic_Plains_moist_deciduous_forests,0.85
Western_Himalayan_broadleaf_forests,0.45
Western_Himalayan_subalpine_conifer_forests,0.25
