Ecoregion,Average_Probability
Brahmaputra_Valley_semi_evergreen_forests,0.9
Baluchistan_xeric_woodlands,0.14285714285714285
Chhota_Nagpur_dry_deciduous_forests,0.95
Aravalli_west_thorn_scrub_forests,0.3157894736842105
Central_Deccan_Plateau_dry_deciduous_forests,0.75
Chin_Hills_Arakan_Yoma_montane_forests,1.0
Andaman_Islands_rain_forests,1.0
Central_Tibetan_Plateau_alpine_steppe,0.55
Deccan_thorn_scrub_forests,0.9473684210526315
East_Deccan_dry_evergreen_forests,1.0
East_Deccan_moist_deciduous_forests,1.0
Eastern_Himalayan_subalpine_conifer_forests,0.25
Eastern_Himalayan_alpine_shrub_and_meadows,0.4117647058823529
Eastern_Himalayan_broadleaf_forests,0.8
Godavari_Krishna_mangroves,0.8888888888888888
Himalayan_subtropical_broadleaf_forests,1.0
Lower_Gangetic_Plains_moist_deciduous_forests,0.95
Karakoram_West_Tibetan_Plateau_alpine_steppe,0.0
Himalayan_subtropical_pine_forests,0.5
Khathiar_Gir_dry_deciduous_forests,0.45
Meghalaya_subtropical_forests,0.9
Malabar_Coast_moist_forests,1.0
Mizoram_Manipur_Kachin_rain_forests,1.0
Maldives_Lakshadweep_Chagos_Archipelago_tropical_moist_forests,0
Narmada_Valley_dry_deciduous_forests,0.35
Nicobar_Islands_rain_forests,1.0
Indus_River_Delta_Arabian_Sea_mangroves,0.875
Northeast_India_Myanmar_pine_forests,1.0
Northeast_Himalayan_subalpine_conifer_forests,0.05
Northern_Triangle_temperate_forests,1.0
Northwestern_Himalayan_alpine_shrub_and_meadows,0.0
North_Deccan_dry_deciduous_forests,0.6
North_Western_Ghats_moist_deciduous_forests,1.0
North_Western_Ghats_montane_rain_forests,1.0
Orissa_semi_evergreen_forests,0.95
North_Tibetan_Plateau_Kunlun_Mountains_alpine_desert,0.35294117647058826
Rann_of_Kutch_seasonal_salt_marsh,0.1
South_Deccan_Plateau_dry_deciduous_forests,0.85
South_Western_Ghats_moist_deciduous_forests,1.0
South_Western_Ghats_montane_rain_forests,0.95
Sundarbans_mangroves,1.0
Sundarbans_freshwater_swamp_forests,1.0
Thar_desert,0.0
Terai_Duar_savanna_and_grasslands,1.0
Upper_Gangetic_Plains_moist_deciduous_forests,0.5
Western_Himalayan_alpine_shrub_and_meadows,0.05
Western_Himalayan_broadleaf_forests,0.05
Western_Himalayan_subalpine_conifer_forests,0.15
Chin_Hills_Arakan_Yoma_montane_forests,1.0
Central_Deccan_Plateau_dry_deciduous_forests,0.9
Central_Tibetan_Plateau_alpine_steppe,0.375
Brahmaputra_Valley_semi_evergreen_forests,0.95
Chhota_Nagpur_dry_deciduous_forests,1.0
Andaman_Islands_rain_forests,1.0
Baluchistan_xeric_woodlands,0.0
Aravalli_west_thorn_scrub_forests,0.3333333333333333
Deccan_thorn_scrub_forests,0.9
Himalayan_subtropical_broadleaf_forests,1.0
Eastern_Himalayan_alpine_shrub_and_meadows,0.4444444444444444
Godavari_Krishna_mangroves,1.0
East_Deccan_dry_evergreen_forests,0.95
East_Deccan_moist_deciduous_forests,0.85
Eastern_Himalayan_subalpine_conifer_forests,0.05
Eastern_Himalayan_broadleaf_forests,0.6
Himalayan_subtropical_pine_forests,0.45
Karakoram_West_Tibetan_Plateau_alpine_steppe,0.0
Khathiar_Gir_dry_deciduous_forests,0.2
Lower_Gangetic_Plains_moist_deciduous_forests,0.85
Malabar_Coast_moist_forests,1.0
Meghalaya_subtropical_forests,1.0
Narmada_Valley_dry_deciduous_forests,0.3
Mizoram_Manipur_Kachin_rain_forests,1.0
Maldives_Lakshadweep_Chagos_Archipelago_tropical_moist_forests,0
Indus_River_Delta_Arabian_Sea_mangroves,0.9
Nicobar_Islands_rain_forests,1.0
Northeast_Himalayan_subalpine_conifer_forests,0.15789473684210525
Northern_Triangle_temperate_forests,1.0
Northeast_India_Myanmar_pine_forests,1.0
Northwestern_Himalayan_alpine_shrub_and_meadows,0.0
North_Deccan_dry_deciduous_forests,0.8
North_Tibetan_Plateau_Kunlun_Mountains_alpine_desert,0.375
North_Western_Ghats_moist_deciduous_forests,1.0
Rann_of_Kutch_seasonal_salt_marsh,0.2
North_Western_Ghats_montane_rain_forests,1.0
Orissa_semi_evergreen_forests,1.0
South_Deccan_Plateau_dry_deciduous_forests,0.95
South_Western_Ghats_montane_rain_forests,1.0
South_Western_Ghats_moist_deciduous_forests,1.0
Sundarbans_mangroves,1.0
Sundarbans_freshwater_swamp_forests,1.0
Thar_desert,0.0
Terai_Duar_savanna_and_grasslands,1.0
Upper_Gangetic_Plains_moist_deciduous_forests,0.6
Western_Himalayan_alpine_shrub_and_meadows,0.0
Western_Himalayan_subalpine_conifer_forests,0.05
Western_Himalayan_broadleaf_forests,0.1
