longitude,latitude
88.7175,26.521944
88.578333,27.646389
94.631389,26.984445
76.793611,11.348333
76.808889,11.350278
76.590278,11.436111
76.845278,11.320278
79.81448,11.91386
79.396911,20.249661
76.412273,27.364386
77.943728,30.227971
77.916069,30.080235
80.752023,22.233305
78.245626,22.487116
76.412273,27.364386
76.468304,11.780441
84.163641,23.66819
84.163641,23.66819
76.412273,27.364386
76.412273,27.364386
77.0,20.0
71.666667,25.75
77.0,20.0
77.283333,8.916667
77.0,20.0
88.425556,27.066944
76.584722,8.881111
72.836389,18.987778
91.633333,25.583333
76.584722,8.881111
77.0,20.0
88.425556,27.066944
77.0,20.0
75.7951,25.198261
73.838904,18.452208
73.865457,18.56685
76.960175,20.515249
78.393369,17.599072
78.360263,17.435317
74.087289,18.150774
77.144784,21.408352
74.118123,16.810686
73.678754,19.639879
85.380219,25.018803
78.348496,17.373107
78.361134,17.362725
75.565836,21.019372
85.374931,25.020252
73.81477,18.523838
85.380226,25.018826
73.84517,18.475599
85.376167,25.018353
85.375586,25.021672
78.301211,17.298409
78.012481,17.288788
75.708632,25.178766
85.374908,25.022142
78.365797,17.372622
85.372398,25.017628
72.83691,18.97985
76.60099,9.17132
76.60099,9.17132
76.6718,10.81837
75.8485,21.04348
75.8485,21.04348
77.57066,13.02135
75.8481,21.0433
75.61127,11.59741
85.37253,25.01784
77.13496,8.68257
76.63799,9.06436
72.83691,18.97985
77.25642,28.54046
85.37253,25.01784
76.60099,9.17132
76.60099,9.17132
77.25642,28.54046
76.60099,9.17132
72.83691,18.97985
72.83691,18.97985
76.63799,9.06436
76.63799,9.06436
76.60099,9.17132
76.63799,9.06436
77.4135,28.51012
76.6334,9.11241
85.37253,25.01784
75.86334,26.82326
77.22253,28.59165
77.2491,8.97512
78.51068,11.64783
78.47913,11.65445
78.50067,11.65044
78.51897,11.64214
77.4135,28.51012
85.37253,25.01784
77.13496,8.68257
76.74994,9.97712
76.6334,9.11241
76.60099,9.17132
85.37253,25.01784
79.77654,11.93927
76.67372,10.81909
79.77659,11.93891
76.63676,12.30843
77.22253,28.59165
77.65297,9.54372
77.65136,9.53873
78.51085,11.64787
76.6148,9.14369
85.3802,25.01857
77.53037,9.46667
77.53037,9.46667
76.60099,9.17132
77.53093,9.46629
76.81377,8.71801
78.39268,17.42673
77.11449,28.48246
85.37253,25.01784
85.37253,25.01784
77.4135,28.51012
76.6334,9.11241
77.53037,9.46667
72.84291,20.4044
85.37137,25.01018
73.00129,21.71204
76.63799,9.06436
76.60099,9.17132
76.60099,9.17132
77.22253,28.59165
77.22253,28.59165
77.17445,28.55196
85.3802,25.01857
77.53147,9.4661
77.53147,9.4661
78.36708,17.41212
78.36708,17.41212
76.60465,9.16597
76.63799,9.06436
75.59485,11.60619
77.43668,23.22
75.58514,11.60355
76.60099,9.17132
76.6334,9.11241
75.84751,21.04394
75.84751,21.04394
75.8499,21.04031
75.8481,21.0433
75.8481,21.0433
75.8481,21.0433
75.84751,21.04394
75.8481,21.0433
75.85143,21.0392
75.85143,21.0392
76.00549,11.89869
76.24078,11.65642
76.63799,9.06436
76.62712,9.13253
78.39176,17.42691
78.39464,17.50561
76.82031,8.69871
78.32836,17.51952
76.57849,8.88674
76.60099,9.17132
76.00549,11.89869
79.51357,29.19891
79.51467,29.20033
75.84853,21.04334
78.12223,30.0679
75.8481,21.0433
75.8481,21.0433
75.8481,21.0433
75.8481,21.0433
75.8481,21.0433
76.63799,9.06436
76.63799,9.06436
77.21067,28.33183
76.63799,9.06436
76.63799,9.06436
76.6334,9.11241
76.00549,11.89869
79.79395,11.94757
79.79395,11.94757
76.63799,9.06436
76.24078,11.65642
76.6334,9.11241
76.63799,9.06436
75.8485,21.04348
76.6334,9.11241
75.84853,21.04334
75.8485,21.04348
76.60099,9.17132
76.81366,8.69822
74.49341,15.83122
76.60099,9.17132
76.6334,9.11241
76.6334,9.11241
75.85265,21.04733
75.85265,21.04733
75.85265,21.04733
75.85265,21.04733
75.85265,21.04733
75.85265,21.04733
75.59182,11.60129
76.6334,9.11241
76.60099,9.17132
76.63799,9.06436
76.60099,9.17132
76.60099,9.17132
75.59673,11.60102
76.55855,9.56382
77.11449,28.48246
75.84387,21.04382
76.53222,9.40276
77.04894,8.34187
76.6334,9.11241
76.63799,9.06436
76.6334,9.11241
76.6334,9.11241
78.36661,17.41278
77.11449,28.48246
73.81486,18.49192
76.6334,9.11241
76.6334,9.11241
76.6334,9.11241
76.6334,9.11241
76.60099,9.17132
76.235,11.66218
76.6334,9.11241
75.8485,21.04348
75.8485,21.04348
75.8485,21.04348
76.63799,9.06436
75.8485,21.04348
75.8485,21.04348
77.11449,28.48246
77.11449,28.48246
76.63799,9.06436
72.83691,18.97985
76.60099,9.17132
76.60099,9.17132
72.83691,18.97985
77.25642,28.54046
76.75791,8.75685
76.75834,8.78793
75.8485,21.04348
75.8485,21.04348
75.8485,21.04348
75.8485,21.04348
76.67378,10.81827
76.7726,8.75197
77.13496,8.68257
76.60099,9.17132
72.83691,18.97985
78.36661,17.41278
73.83425,18.51167
77.11449,28.48246
75.59244,11.59675
77.2491,8.97512
75.61307,11.61533
76.63842,9.01934
85.37253,25.01784
76.6334,9.11241
76.63799,9.06436
77.4135,28.51012
76.6334,9.11241
76.6334,9.11241
75.86334,26.82326
72.83691,18.97985
76.63799,9.06436
75.8485,21.04348
75.8485,21.04348
75.8485,21.04348
77.11449,28.48246
79.77664,11.93901
76.7726,8.75197
75.59108,11.59756
88.35224,22.68105
76.63799,9.06436
76.6334,9.11241
85.3802,25.01857
85.37253,25.01784
76.63799,9.06436
76.64916,9.03947
77.4135,28.51012
85.37253,25.01784
76.60099,9.17132
75.86334,26.82326
85.3802,25.01857
76.6334,9.11241
77.4135,28.51012
77.11449,28.48246
79.77664,11.93883
76.78673,8.78184
76.75862,8.75683
78.38939,17.50279
77.58096,13.0664
76.60099,9.17132
75.86334,26.82326
85.3802,25.01857
76.63799,9.06436
77.4135,28.51012
85.3802,25.01857
76.6334,9.11241
76.64271,9.027
85.37253,25.01784
77.4135,28.51012
76.63799,9.06436
76.75862,8.75683
76.00549,11.89869
84.6453,20.80474
92.64297,11.67893
