Ecoregion,Average_Probability
Brahmaputra_Valley_semi_evergreen_forests,0.0
Chin_Hills_Arakan_Yoma_montane_forests,0.0
Aravalli_west_thorn_scrub_forests,0.0
Chhota_Nagpur_dry_deciduous_forests,0.0
Central_Tibetan_Plateau_alpine_steppe,0.0
Andaman_Islands_rain_forests,0.0
Central_Deccan_Plateau_dry_deciduous_forests,0.0
Baluchistan_xeric_woodlands,0.0
Eastern_Himalayan_broadleaf_forests,0.0
East_Deccan_dry_evergreen_forests,0.0
Eastern_Himalayan_alpine_shrub_and_meadows,0.0
Deccan_thorn_scrub_forests,0.0
Eastern_Himalayan_subalpine_conifer_forests,0.0
Godavari_Krishna_mangroves,0.0
Himalayan_subtropical_broadleaf_forests,0.0
East_Deccan_moist_deciduous_forests,0.0
Himalayan_subtropical_pine_forests,0.0
Malabar_Coast_moist_forests,0.0
Karakoram_West_Tibetan_Plateau_alpine_steppe,0.0
Khathiar_Gir_dry_deciduous_forests,0.0
Lower_Gangetic_Plains_moist_deciduous_forests,0.0
Meghalaya_subtropical_forests,0.0
Mizoram_Manipur_Kachin_rain_forests,0.0
Narmada_Valley_dry_deciduous_forests,0.0
Indus_River_Delta_Arabian_Sea_mangroves,0.0
Northeast_Himalayan_subalpine_conifer_forests,0.0
Northeast_India_Myanmar_pine_forests,0.0
Nicobar_Islands_rain_forests,0.0
Northern_Triangle_temperate_forests,0.0
Northwestern_Himalayan_alpine_shrub_and_meadows,0.0
North_Deccan_dry_deciduous_forests,0.0
Maldives_Lakshadweep_Chagos_Archipelago_tropical_moist_forests,0.0
North_Western_Ghats_montane_rain_forests,0.0
North_Western_Ghats_moist_deciduous_forests,0.0
Orissa_semi_evergreen_forests,0.0
Rann_of_Kutch_seasonal_salt_marsh,0.0
North_Tibetan_Plateau_Kunlun_Mountains_alpine_desert,0.0
South_Deccan_Plateau_dry_deciduous_forests,0.0
South_Western_Ghats_montane_rain_forests,0.0
South_Western_Ghats_moist_deciduous_forests,0.0
Terai_Duar_savanna_and_grasslands,0.0
Sundarbans_freshwater_swamp_forests,0.0
Sundarbans_mangroves,0.0
Upper_Gangetic_Plains_moist_deciduous_forests,0.0
Thar_desert,0.0
Western_Himalayan_alpine_shrub_and_meadows,0.0
Western_Himalayan_broadleaf_forests,0.0
Western_Himalayan_subalpine_conifer_forests,0.0
Aravalli_west_thorn_scrub_forests,0.0
Chin_Hills_Arakan_Yoma_montane_forests,0.0
Deccan_thorn_scrub_forests,0.0
Himalayan_subtropical_broadleaf_forests,0.0
Central_Deccan_Plateau_dry_deciduous_forests,0.0
East_Deccan_moist_deciduous_forests,0.0
Himalayan_subtropical_pine_forests,0.0
Eastern_Himalayan_broadleaf_forests,0.0
Chhota_Nagpur_dry_deciduous_forests,0.0
Eastern_Himalayan_alpine_shrub_and_meadows,0.0
Narmada_Valley_dry_deciduous_forests,0.0
Nicobar_Islands_rain_forests,0.0
Northeast_Himalayan_subalpine_conifer_forests,0.0
Northeast_India_Myanmar_pine_forests,0.0
Northern_Triangle_temperate_forests,0.0
Northwestern_Himalayan_alpine_shrub_and_meadows,0.0
North_Deccan_dry_deciduous_forests,0.0
North_Tibetan_Plateau_Kunlun_Mountains_alpine_desert,0.0
North_Western_Ghats_moist_deciduous_forests,0.0
North_Western_Ghats_montane_rain_forests,0.0
Orissa_semi_evergreen_forests,0.0
Rann_of_Kutch_seasonal_salt_marsh,0.0
South_Deccan_Plateau_dry_deciduous_forests,0.0
South_Western_Ghats_moist_deciduous_forests,0.0
South_Western_Ghats_montane_rain_forests,0.0
Sundarbans_freshwater_swamp_forests,0.0
Sundarbans_mangroves,0.0
Terai_Duar_savanna_and_grasslands,0.0
Thar_desert,0.0
Upper_Gangetic_Plains_moist_deciduous_forests,0.0
Western_Himalayan_alpine_shrub_and_meadows,0.0
Western_Himalayan_broadleaf_forests,0.0
Western_Himalayan_subalpine_conifer_forests,0.0
Khathiar_Gir_dry_deciduous_forests,0.0
Eastern_Himalayan_subalpine_conifer_forests,0.0
Lower_Gangetic_Plains_moist_deciduous_forests,0.0
