model_loss,accuracy,optimal_threshold,tpr,tnr,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
Random_Forest_Original_Loss,0.5,0.5,0.0,1.0,0.25,0.5,0.3333333333333333,2.0,0.25,0.5,0.3333333333333333,2.0
Random_Forest_Original_Loss,0.5,0.5,0.0,1.0,0.25,0.5,0.3333333333333333,2.0,0.25,0.5,0.3333333333333333,2.0
Random_Forest_Original_Loss,0.5,0.5,0.0,1.0,0.25,0.5,0.3333333333333333,2.0,0.25,0.5,0.3333333333333333,2.0
Random_Forest_Original_Loss,0.5,0.5,0.0,1.0,0.25,0.5,0.3333333333333333,2.0,0.25,0.5,0.3333333333333333,2.0
Random_Forest_Dice_Loss,0.5,0.31052631578947365,0.0,1.0,0.25,0.5,0.3333333333333333,2.0,0.25,0.5,0.3333333333333333,2.0
Random_Forest_Dice_Loss,0.5,0.31052631578947365,0.0,1.0,0.25,0.5,0.3333333333333333,2.0,0.25,0.5,0.3333333333333333,2.0
Random_Forest_Dice_Loss,0.5,0.31052631578947365,0.0,1.0,0.25,0.5,0.3333333333333333,2.0,0.25,0.5,0.3333333333333333,2.0
Random_Forest_Dice_Loss,0.5,0.31052631578947365,0.0,1.0,0.25,0.5,0.3333333333333333,2.0,0.25,0.5,0.3333333333333333,2.0
Random_Forest_Focal_Loss,0.5,0.31052631578947365,0.0,1.0,0.25,0.5,0.3333333333333333,2.0,0.25,0.5,0.3333333333333333,2.0
Random_Forest_Focal_Loss,0.5,0.31052631578947365,0.0,1.0,0.25,0.5,0.3333333333333333,2.0,0.25,0.5,0.3333333333333333,2.0
Random_Forest_Focal_Loss,0.5,0.31052631578947365,0.0,1.0,0.25,0.5,0.3333333333333333,2.0,0.25,0.5,0.3333333333333333,2.0
Random_Forest_Focal_Loss,0.5,0.31052631578947365,0.0,1.0,0.25,0.5,0.3333333333333333,2.0,0.25,0.5,0.3333333333333333,2.0
Random_Forest_Tversky_Loss,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Random_Forest_Tversky_Loss,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Random_Forest_Tversky_Loss,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Random_Forest_Tversky_Loss,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Logistic_Regression_Original_Loss,0.5,0.5,0.0,1.0,0.25,0.5,0.3333333333333333,2.0,0.25,0.5,0.3333333333333333,2.0
Logistic_Regression_Original_Loss,0.5,0.5,0.0,1.0,0.25,0.5,0.3333333333333333,2.0,0.25,0.5,0.3333333333333333,2.0
Logistic_Regression_Original_Loss,0.5,0.5,0.0,1.0,0.25,0.5,0.3333333333333333,2.0,0.25,0.5,0.3333333333333333,2.0
Logistic_Regression_Original_Loss,0.5,0.5,0.0,1.0,0.25,0.5,0.3333333333333333,2.0,0.25,0.5,0.3333333333333333,2.0
Logistic_Regression_Dice_Loss,1.0,0.26842105263157895,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
Logistic_Regression_Dice_Loss,1.0,0.26842105263157895,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
Logistic_Regression_Dice_Loss,1.0,0.26842105263157895,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
Logistic_Regression_Dice_Loss,1.0,0.26842105263157895,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
Logistic_Regression_Focal_Loss,1.0,0.26842105263157895,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
Logistic_Regression_Focal_Loss,1.0,0.26842105263157895,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
Logistic_Regression_Focal_Loss,1.0,0.26842105263157895,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
