kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,annual_mean_temperature,mean_diurnal_range,isothermality,temperature_seasonality,max_temperature_warmest_month,min_temperature_coldest_month,temperature_annual_range,mean_temperature_wettest_quarter,mean_temperature_driest_quarter,mean_temperature_warmest_quarter,mean_temperature_coldest_quarter,annual_precipitation,precipitation_wettest_month,precipitation_driest_month,precipitation_seasonality,precipitation_wettest_quarter,precipitation_driest_quarter,precipitation_warmest_quarter,precipitation_coldest_quarter,aridity_index,topsoil_ph,subsoil_ph,topsoil_texture,subsoil_texture,elevation,reliability_score
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Parthenium,Parthenium hysterophorus,20.830676,75.426427,0.8932291666666666,0.8037383177570093,0.64,0.2404558932542624,0.860248447204969,0.7773584905660378,0.5492537313432836,0.7860696517412935,0.8599221789883269,0.8333333333333334,0.8829568788501027,0.0495486459378134,0.0505865102639296,0.0227272727272727,0.4761904761904761,0.0442176870748299,0.0256410256410256,0.0181029605883462,0.0071820870299957,0.0270934825037266,0.9518072185330858,0.9759036379916722,1.0,0.2307692307692307,0.1234103528568869,0.5441123951557978
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Psidium,Psidium guajava,26.467789,79.859958,0.8917748917748918,0.4672897196261682,0.2702702702702703,0.4066715722344861,0.7565217391304347,0.7410468319559229,0.5016949152542373,0.9008264462809916,0.678082191780822,0.8333333333333334,0.8220858895705522,0.2789868667917448,0.1801705756929637,0.0975609756097561,0.44,0.2194033356824054,0.2096774193548387,0.1380819737365698,0.0129227385207588,0.2681136592741935,0.7590361501156876,0.7228915496529372,0.6666666666666666,0.3846153846153846,0.0152011922503725,0.49617800086902436
Plantae,Tracheophyta,Magnoliopsida,Brassicales,Cleomaceae,Arivela,Arivela viscosa,15.847925,78.210209,0.9389312977099236,0.5042016806722689,0.3382352941176471,0.3520916798658343,0.8732394366197183,0.7855787476280834,0.5228571428571429,0.9002123142250531,0.8032128514056225,0.9029411764705882,0.8732106339468303,0.1244895926700527,0.1090047393364928,0.0111111111111111,0.6035502958579881,0.116946160635481,0.0359477124183006,0.059894855426211,0.0047896709704289,0.097267944497431,0.7590361501156876,0.7228915496529372,0.6666666666666666,0.3846153846153846,0.010553633217993,0.5169037582455762
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Parthenium,Parthenium hysterophorus,24.365142,86.150852,0.8651399491094147,0.5210084033613446,0.5588235294117647,0.1451597875710426,0.7408450704225352,0.8197343453510436,0.3371428571428571,0.7876857749469215,0.8514056224899599,0.7588235294117647,0.885480572597137,0.0814659894432825,0.0630696317900109,0.0055555555555555,0.4792899408284023,0.0635481023830538,0.0212418300653594,0.0268494179496808,0.0156184922948771,0.0571024213149555,0.746987911661265,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.1555363321799308,0.5022783620637113
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Azadirachta,Azadirachta indica,25.003868,85.417205,0.840782122905028,0.5614035087719298,0.75,0.1538692561817999,0.717391304347826,0.798,0.3517441860465116,0.8052884615384616,0.8426724137931034,0.7397260273972602,0.8681318681318682,0.1190359876241654,0.0639488409272582,0.0128205128205128,0.3587786259541984,0.082794830371567,0.044280442804428,0.043037088873338,0.0139745170571311,0.084940548637768,0.746987911661265,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.1773620205799813,0.497906610022527
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Psidium,Psidium guajava,12.962226,76.733833,0.89272030651341,0.4953271028037383,0.3863636363636363,0.3383869636963696,0.7420634920634921,0.7216748768472906,0.495114006514658,0.908450704225352,0.675,0.7982062780269058,0.828042328042328,0.1491174680462568,0.1114413075780089,0.0697674418604651,0.4384615384615384,0.1316455696202531,0.1648936170212765,0.0788271134805788,0.0063707357172215,0.1275525166309095,0.7951806931281792,0.8433734745950935,0.6666666666666666,0.6923076923076923,0.0039403321137067,0.4997162272936971
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,Mimosa pudica,19.247819,83.44619,0.931297709923664,0.3949579831932773,0.3529411764705882,0.2672132674927793,0.819718309859155,0.8197343453510436,0.4171428571428571,0.8641188959660298,0.8273092369477911,0.8764705882352941,0.8957055214723927,0.1299671347475351,0.1082756106452789,0.0388888888888888,0.5739644970414202,0.1172403648131803,0.0457516339869281,0.057266241081487,0.0095793419408579,0.0967602990493185,0.7590361501156876,0.7831325121240154,0.3333333333333333,0.7692307692307693,0.0413494809688581,0.507769985977436
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus americanus,14.97,77.330002,0.8804071246819338,0.7142857142857143,0.5,0.211590422062797,0.8253521126760563,0.7661596958174905,0.5057142857142857,0.8072805139186295,0.8453815261044176,0.8058823529411765,0.8813905930470347,0.054277462404143,0.0437477214728399,0.0,0.5384615384615384,0.0439835245660488,0.0049019607843137,0.0249718362748779,0.0070803831736776,0.0258745346583392,0.7710843311198514,0.7951806931281792,0.3333333333333333,0.7692307692307693,0.1198961937716263,0.5230411754293162
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Eclipta,Eclipta prostrata,25.984838,85.67411,0.8804071246819338,0.773109243697479,0.3235294117647059,0.5858567036243362,0.9267605633802816,0.6717267552182163,0.7485714285714286,0.9193205944798302,0.927710843373494,0.9205882352941176,0.7586912065439673,0.0750921222985758,0.0842143638352169,0.0166666666666666,0.7396449704142012,0.0848779052662547,0.065359477124183,0.0510702215546376,0.0131195335276967,0.0517952189028705,0.9518072185330858,0.9638553995372496,0.6666666666666666,0.3846153846153846,0.0455017301038062,0.5564588250833019
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Barleria,Barleria prionitis,26.912366,75.787271,0.9211267605633804,0.4375,0.4130434782608695,0.3441386340468909,0.793002915451895,0.7782258064516129,0.4431137724550898,0.9172259507829976,0.7895833333333333,0.864516129032258,0.8574561403508771,0.2031270024349609,0.1415055532702591,0.1489361702127659,0.4436090225563909,0.1810707456978967,0.2039800995024875,0.1095856827653836,0.0086607520067596,0.1656013733153146,0.7951806931281792,0.8433734745950935,0.6666666666666666,0.6923076923076923,0.0012642225031605,0.4909642690307158
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Hevea,Hevea brasiliensis,9.603109,77.161458,0.935754189944134,0.2982456140350877,0.6458333333333334,0.1394274234053239,0.7142857142857143,0.874,0.2383720930232558,0.9158653846153846,0.8793103448275862,0.8356164383561644,0.9362637362637364,0.4199641752157629,0.3876898481215028,0.0,0.8396946564885496,0.4367932148626817,0.003690036900369,0.1885934219734079,0.0002055498458376,0.2688418687388821,0.8795180750578437,0.9036144370661716,0.6666666666666666,0.6923076923076923,0.0035547240411599,0.4983548516057836
Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina benghalensis,22.032122,83.61805,0.977715877437326,0.5614035087719298,0.6122448979591837,0.2435299950421418,0.9012345679012346,0.864,0.4331395348837209,0.9207459207459208,0.8819742489270386,0.9326599326599326,0.945054945054945,0.0888732394366197,0.0531362365161805,0.0,0.4436090225563909,0.0787560581583198,0.025830258302583,0.0405695862439548,0.0053431976983148,0.0522856978151841,0.9518072185330858,0.9759036379916722,1.0,0.2307692307692307,0.0417520969245107,0.5359714210514562
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Simaroubaceae,Ailanthus,Ailanthus excelsa,26.046488,76.155522,0.935933147632312,0.2807017543859649,0.8979591836734694,0.0569162121963311,0.6759259259259259,0.914,0.1482558139534883,0.858139534883721,0.9100642398286938,0.7986577181208053,0.978021978021978,0.3638766519823788,0.4429407461594733,0.0,0.7481481481481481,0.4267174495697559,0.007380073800738,0.023805130097804,0.4880805589806823,0.3010863544038899,0.6506024061776953,0.6265059867191088,0.3333333333333333,0.9230769230769232,0.0088626292466765,0.50210287794946
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Portulacaceae,Portulaca,Portulaca oleracea,23.029889,72.548133,0.947075208913649,0.7807017543859649,0.5416666666666666,0.3654019421363499,0.9290123456790124,0.748,0.627906976744186,0.9230769230769232,0.8454935622317596,0.9421768707482994,0.8769230769230769,0.10694757156642,0.1023181454836131,0.0,0.8345864661654135,0.1223747980613893,0.011070110701107,0.0220376876397317,0.000616522811344,0.0588235294117647,0.7951806931281792,0.8433734745950935,0.6666666666666666,0.6923076923076923,0.0109972041006523,0.5383094046696997
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Jatropha,Jatropha podagrica,30.676759,76.846232,0.9212962962962964,0.4485981308411215,0.4390243902439024,0.3234627373193539,0.7162790697674418,0.77,0.4236111111111111,0.8530465949820788,0.7121212121212122,0.8031914893617021,0.8662207357859532,0.1995137517094666,0.1187957689178193,0.0975609756097561,0.4765625,0.1669762641898864,0.25,0.0727866904337492,0.0110996916752312,0.1556712608473711,0.7590361501156876,0.7349397306571012,0.3333333333333333,0.7692307692307693,0.0102414045354791,0.48889338447639424
Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,,Elliptochloris,Elliptochloris subsphaerica,32.53,75.99,0.5356265356265356,0.4495412844036697,0.1969696969696969,0.5420276123443422,0.5100864553314121,0.4908485856905158,0.549889135254989,0.3363636363636363,0.5877342419080068,0.5434083601286174,0.5053003533568905,0.1029271901088449,0.0550931430836306,0.3563218390804598,0.0692307692307692,0.0547217010631644,0.4338983050847457,0.0317428628468756,0.0805609018421776,0.1511944794173426,0.7951806931281792,0.8433734745950935,0.6666666666666666,0.6923076923076923,0.4348132487667371,0.5506311155616208
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Tripidium,Tripidium rufipilum,0.0,0.0,0.7178082191780822,0.5309734513274337,0.3088235294117647,0.4365737720197595,0.6717325227963525,0.6349514563106796,0.5558739255014327,0.7784946236559139,0.6303030303030303,0.667741935483871,0.6758474576271186,0.1397828036265816,0.1321167883211678,0.0555555555555555,0.5,0.1273182219605534,0.1797385620915032,0.1031567080045095,0.034777176176593,0.0970473228855568,0.6024096247107811,0.6144578057149449,1.0,0.2307692307692307,0.2542062911485003,0.5267355172772735
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Helicteres,Helicteres isora,20.494919,86.431542,0.8600508905852418,0.5294117647058824,0.5441176470588235,0.1496319761483276,0.7408450704225352,0.8121442125237192,0.3485714285714286,0.7834394904458599,0.8473895582329317,0.7588235294117647,0.8813905930470347,0.0764864057364804,0.0568720379146919,0.0055555555555555,0.4970414201183432,0.0631067961165048,0.0147058823529411,0.0240330454374765,0.01228654727197,0.0559179152693597,0.746987911661265,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.1608996539792387,0.5038424891214465
Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Leea,Leea compactiflora,27.108,88.65,0.6191860465116279,0.3027522935779816,0.3220338983050847,0.3211206896551724,0.4207492795389049,0.5782881002087683,0.3237822349570201,0.6625310173697271,0.5192307692307693,0.5337620578778135,0.6177156177156177,0.5730642622012309,0.5142405063291139,0.1034482758620689,0.4846153846153846,0.5387622149837134,0.1457627118644067,0.6963147686339707,0.0118229309870772,0.5975825358391944,0.5542168432438668,0.5783132627024533,0.6666666666666666,0.3846153846153846,0.2908738548273432,0.5268845993724625
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Oryza,Oryza meyeriana,21.1278,82.80071,0.9440203562340967,0.5877192982456141,0.3088235294117647,0.3725417093857768,0.9689265536723164,0.7927756653992395,0.6085714285714285,0.8774193548387097,0.8092369477911646,0.95,0.8834355828220859,0.1402809604463485,0.1580291970802919,0.0222222222222222,0.7191780821917808,0.1554312628790108,0.0294117647058823,0.043216835776024,0.0037484381507705,0.0949450819924314,0.7710843311198514,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.0493079584775086,0.5292772215103668
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Heliotropiaceae,Heliotropium,Heliotropium indicum,22.293013,82.157935,0.9375,0.2149532710280373,0.66,0.1164751667902149,0.6801242236024845,0.9037735849056604,0.1761194029850746,0.8532338308457711,0.8832684824902723,0.8176100628930818,0.944558521560575,0.2370110330992978,0.3082844574780058,0.0,0.8253968253968254,0.290150842945874,0.0051282051282051,0.1023948708278333,0.0004224757076468,0.1443039141860429,0.8795180750578437,0.9036144370661716,0.6666666666666666,0.6923076923076923,0.0037614185921547,0.4993644932370791
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Athyriaceae,Athyrium,Athyrium nigripes,25.58333,91.63333,0.75,0.4862385321100917,0.5932203389830508,0.1470202398800599,0.5994236311239193,0.7411273486430062,0.2779369627507163,0.684863523573201,0.7331730769230769,0.6366559485530546,0.7902097902097902,0.20037211965078,0.125,0.2068965517241379,0.2307692307692307,0.1385450597176981,0.1864406779661017,0.0820171792740371,0.0670882595545779,0.0659133709981167,0.9156626180703354,0.0,0.6666666666666666,0.0,0.2494714587737843,0.530399830495295
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cajanus,Cajanus cajan,23.09172,73.394421,0.905852417302799,0.6554621848739496,0.5147058823529411,0.1864343613155688,0.847887323943662,0.8121442125237192,0.4571428571428571,0.8089171974522293,0.8775100401606426,0.8264705882352941,0.9120654396728016,0.063738671447067,0.0470288005833029,0.0,0.4970414201183432,0.0485436893203883,0.0130718954248366,0.0163349605707848,0.0083298625572678,0.0390117835276743,0.9518072185330858,0.9759036379916722,1.0,0.2307692307692307,0.0980968858131488,0.5374787763369501
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mucuna,Mucuna monosperma,27.445443,96.535809,0.8948948948948949,0.7857142857142857,0.3777777777777777,0.5560551865099642,0.9746031746031746,0.6832971800433839,0.8025889967637541,0.9576059850374063,0.8508997429305912,0.9572953736654805,0.7733644859813084,0.1314956230210467,0.1427860696517413,0.048780487804878,0.8992248062015504,0.1534317170297493,0.0638297872340425,0.1209546925566343,0.0052255225522552,0.0814903470885153,0.7951806931281792,0.8433734745950935,0.6666666666666666,0.6923076923076923,0.0587152209492635,0.5535911973219056
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Crotalaria,Crotalaria alata,25.5833,91.6333,0.8353808353808354,0.6422018348623854,0.303030303030303,0.4135083919870059,0.8772378516624041,0.697171381031614,0.5454545454545454,0.8666666666666667,0.7891156462585034,0.8815426997245179,0.7632508833922261,0.1800356506238859,0.2033031852143138,0.1494252873563218,0.6153846153846154,0.1899891523322485,0.3661016949152542,0.1102502979737783,0.0454171804356761,0.155694929108114,0.746987911661265,0.7349397306571012,0.3333333333333333,0.7692307692307693,0.079540795407954,0.5108488837311583
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Acalypha,Acalypha hispida,25.019522,85.421272,0.8181818181818182,0.4862385321100917,0.6212121212121212,0.0922441797509474,0.6828644501278772,0.8169717138103162,0.2172949002217294,0.7266666666666667,0.8418367346938775,0.71900826446281,0.8692579505300353,0.0750760197126979,0.0727487219819111,0.0689655172413793,0.3893129770992366,0.0547032388036572,0.0677966101694915,0.0387365911799761,0.0232223592272914,0.0422763205456631,0.9156626180703354,0.0,0.6666666666666666,0.0,0.1663249965832991,0.5385173700652351
Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Zehneria,Zehneria bodinieri,27.75,88.5,0.1569767441860465,0.7981651376146789,0.3448275862068966,0.5194902548725637,0.1239193083573487,0.1294363256784968,0.6446991404011462,0.3548387096774194,0.1129807692307692,0.135048231511254,0.1981351981351981,0.0482324316587949,0.0434782608695652,0.0229885057471264,0.5307692307692308,0.0443574690150032,0.0305084745762711,0.0670545857578276,0.0035743744844652,0.0602694443910595,0.9156626180703354,0.0,0.6666666666666666,0.0,0.8717406624383368,0.6485247893421895
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Jatropha,Jatropha gossypiifolia,22.389554,82.349113,0.8935185185185185,0.7289719626168224,0.3658536585365853,0.4953859060402684,0.9722222222222222,0.6514657980456026,0.7222222222222222,0.8107142857142857,0.6477272727272727,0.9109947643979056,0.8127090301003345,0.1271659745095231,0.097640358014646,0.1951219512195122,0.6171875,0.1287659925711927,0.2256097560975609,0.0446428571428571,0.0076037813399095,0.0768126074715141,0.9518072185330858,0.9759036379916722,1.0,0.2307692307692307,0.1148500365764447,0.5513833087237447
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Carissa,Carissa spinarum,20.578272,73.737312,0.9453125,0.1775700934579439,0.88,0.0509636767976278,0.6708074534161491,0.9547169811320756,0.0865671641791044,0.8159203980099502,0.933852140077821,0.8144654088050315,0.9815195071868584,0.3740220661985958,0.4127565982404692,0.0,0.6825396825396826,0.419698314108252,0.0256410256410256,0.0446916839524797,0.4710604140261935,0.2256150973551966,0.6506024061776953,0.6265059867191088,0.3333333333333333,0.9230769230769232,0.0037614185921547,0.5009027151747558
Plantae,Tracheophyta,Magnoliopsida,Brassicales,Caricaceae,Carica,Carica papaya,24.109262,81.774704,0.8625954198473282,0.4117647058823529,0.5441176470588235,0.1064939904965992,0.704225352112676,0.8349146110056926,0.2771428571428571,0.772823779193206,0.8634538152610441,0.7470588235294118,0.9059304703476484,0.2655114032466886,0.3842508202697776,0.0,0.8284023668639053,0.3111209179170344,0.0098039215686274,0.0294780322944048,0.0087463556851311,0.2553764267913731,0.5783132627024533,0.5783132627024533,0.6666666666666666,0.3846153846153846,0.1185121107266436,0.49493454320869057
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Sphagneticola,Sphagneticola trilobata,30.05095,77.513749,0.8657407407407407,0.4299065420560747,0.3414634146341463,0.4172853340804034,0.6465116279069767,0.6733333333333333,0.4722222222222222,0.8566308243727598,0.6136363636363636,0.7486910994764397,0.782608695652174,0.2109710684617588,0.1240846216436127,0.1707317073170731,0.4375,0.1737874097007224,0.25,0.1101190476190476,0.0082219938335046,0.1724835131611269,0.6987951876446095,0.7108433686487734,1.0,0.2307692307692307,0.0062179956108266,0.5093032998259277
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Mitragyna,Mitragyna parvifolia,26.304238,73.017235,0.9439775910364144,0.1696428571428571,0.875,0.0529451987887076,0.7055393586005831,0.9617706237424548,0.0776119402985074,0.8530066815144766,0.9354166666666668,0.8205128205128205,0.9824561403508772,0.3476778011836693,0.398463227222832,0.0851063829787234,0.6466165413533834,0.379060838747785,0.0597014925373134,0.0611822289156626,0.4060353798126951,0.278867570930429,0.6506024061776953,0.6265059867191088,0.3333333333333333,0.9230769230769232,0.0039506953223767,0.49399768766028906
Plantae,Tracheophyta,Magnoliopsida,Ericales,Styracaceae,Bruinsmia,Bruinsmia polysperma,25.3,91.7,0.9156976744186046,0.4678899082568807,0.4090909090909091,0.3203139776811046,0.7623762376237624,0.7578288100208769,0.4441260744985673,0.9125964010282775,0.7487562189054726,0.8472222222222222,0.8484848484848485,0.2247386759581881,0.1812865497076023,0.1,0.4538461538461538,0.203578442068514,0.1636363636363636,0.1219174286505957,0.0121012101210121,0.1670670536005996,0.7951806931281792,0.8433734745950935,0.6666666666666666,0.6923076923076923,0.0044052863436123,0.49004750256876706
Plantae,Tracheophyta,Magnoliopsida,Proteales,Proteaceae,Grevillea,Grevillea robusta,22.685184,81.746056,0.9083969465648856,0.4392523364485981,0.4,0.3088902640264026,0.7931034482758621,0.7684729064039408,0.4495114006514658,0.9014084507042254,0.7237237237237237,0.8509803921568627,0.8597883597883598,0.1441468857780483,0.1140416047548291,0.1162790697674418,0.4,0.1286671630677587,0.2606382978723404,0.0613099771515613,0.0113029182079736,0.1282470789794564,0.7590361501156876,0.7349397306571012,0.3333333333333333,0.7692307692307693,0.0066194932663775,0.49654914606431977
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cyanthillium,Cyanthillium cinereum,14.853112,76.554843,0.8984375,0.8411214953271028,0.46,0.4466271312083024,0.9657320872274144,0.7150943396226415,0.7716049382716049,0.8375,0.8871595330739299,0.9363057324840764,0.8234086242299795,0.1453244126341994,0.1606879606879606,0.0227272727272727,0.8650793650793651,0.1744235695986336,0.075268817204301,0.0195488721804511,0.0061758893280632,0.0747589886618565,0.9518072185330858,0.9759036379916722,1.0,0.2307692307692307,0.0786315600931398,0.5632844681787241
