model_loss,error,accuracy,precision,recall,f1,tpr,tnr,optimal_threshold
Random_Forest_Original_Loss,'precision',,,,,,,
Random_Forest_Dice_Loss,,0.7222222222222222,0.7,0.7777777777777778,0.7368421052631579,0.7777777777777778,0.6666666666666666,0.4789473684210527
Random_Forest_Focal_Loss,,0.6481481481481481,0.75,0.4444444444444444,0.5581395348837209,0.4444444444444444,0.8518518518518519,0.8157894736842105
Random_Forest_Tversky_Loss,,0.5740740740740741,0.5434782608695652,0.9259259259259259,0.684931506849315,0.9259259259259259,0.2222222222222222,0.14210526315789473
Logistic_Regression_Original_Loss,'precision',,,,,,,
Logistic_Regression_Dice_Loss,,0.6481481481481481,0.5909090909090909,0.9629629629629629,0.7323943661971831,0.9629629629629629,0.3333333333333333,0.3526315789473684
Logistic_Regression_Focal_Loss,,0.5,0.0,0.0,0.0,0.0,1.0,0.731578947368421
Logistic_Regression_Tversky_Loss,,0.6481481481481481,0.5909090909090909,0.9629629629629629,0.7323943661971831,0.9629629629629629,0.3333333333333333,0.3526315789473684
Weighted_Logistic_Regression_Original_Loss,'precision',,,,,,,
Weighted_Logistic_Regression_Dice_Loss,,0.6481481481481481,0.6,0.8888888888888888,0.7164179104477612,0.8888888888888888,0.4074074074074074,0.39473684210526316
Weighted_Logistic_Regression_Focal_Loss,,0.5,0.0,0.0,0.0,0.0,1.0,0.731578947368421
Weighted_Logistic_Regression_Tversky_Loss,,0.5925925925925926,0.5510204081632653,1.0,0.7105263157894737,1.0,0.18518518518518517,0.31052631578947365
