model_loss,accuracy,optimal_threshold,tpr,tnr,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
Random_Forest_Original_Loss,0.8695652173913043,0.5,0.8333333333333334,0.9090909090909091,0.8712121212121212,0.8712121212121212,0.8695652173913043,23.0,0.8728590250329382,0.8695652173913043,0.8695652173913043,23.0
Random_Forest_Dice_Loss,0.8695652173913043,0.4789473684210527,0.8333333333333334,0.9090909090909091,0.8712121212121212,0.8712121212121212,0.8695652173913043,23.0,0.8728590250329382,0.8695652173913043,0.8695652173913043,23.0
Random_Forest_Focal_Loss,0.8695652173913043,0.5631578947368421,0.75,1.0,0.8928571428571428,0.875,0.8685714285714285,23.0,0.8975155279503105,0.8695652173913043,0.8680745341614906,23.0
Random_Forest_Tversky_Loss,0.8695652173913043,0.4789473684210527,0.8333333333333334,0.9090909090909091,0.8712121212121212,0.8712121212121212,0.8695652173913043,23.0,0.8728590250329382,0.8695652173913043,0.8695652173913043,23.0
Logistic_Regression_Original_Loss,0.6956521739130435,0.5,0.8333333333333334,0.5454545454545454,0.7083333333333333,0.6893939393939394,0.6861598440545809,23.0,0.7065217391304348,0.6956521739130435,0.6885329265191965,23.0
Logistic_Regression_Dice_Loss,0.8260869565217391,0.6052631578947368,0.75,0.9090909090909091,0.8346153846153846,0.8295454545454546,0.8257575757575758,23.0,0.8374581939799333,0.8260869565217391,0.8254281949934124,23.0
Logistic_Regression_Focal_Loss,0.5652173913043478,0.8578947368421053,0.16666666666666666,1.0,0.7619047619047619,0.5833333333333334,0.48660714285714285,23.0,0.772256728778468,0.5652173913043478,0.47787267080745344,23.0
Logistic_Regression_Tversky_Loss,0.6521739130434783,0.1842105263157895,1.0,0.2727272727272727,0.8,0.6363636363636364,0.5892857142857143,23.0,0.7913043478260869,0.6521739130434783,0.5962732919254659,23.0
Weighted_Logistic_Regression_Original_Loss,0.6956521739130435,0.5,0.8333333333333334,0.5454545454545454,0.7083333333333333,0.6893939393939394,0.6861598440545809,23.0,0.7065217391304348,0.6956521739130435,0.6885329265191965,23.0
Weighted_Logistic_Regression_Dice_Loss,0.8260869565217391,0.6052631578947368,0.75,0.9090909090909091,0.8346153846153846,0.8295454545454546,0.8257575757575758,23.0,0.8374581939799333,0.8260869565217391,0.8254281949934124,23.0
Weighted_Logistic_Regression_Focal_Loss,0.5652173913043478,0.8578947368421053,0.16666666666666666,1.0,0.7619047619047619,0.5833333333333334,0.48660714285714285,23.0,0.772256728778468,0.5652173913043478,0.47787267080745344,23.0
Weighted_Logistic_Regression_Tversky_Loss,0.6521739130434783,0.1842105263157895,1.0,0.2727272727272727,0.8,0.6363636363636364,0.5892857142857143,23.0,0.7913043478260869,0.6521739130434783,0.5962732919254659,23.0
