model_loss,error,accuracy,precision,recall,f1,tpr,tnr,optimal_threshold
Random_Forest_Original_Loss,'precision',,,,,,,
Random_Forest_Dice_Loss,,0.7330316742081447,0.71900826446281,0.7767857142857143,0.7467811158798283,0.7767857142857143,0.6880733944954128,0.4789473684210527
Random_Forest_Focal_Loss,,0.6289592760180995,0.8409090909090909,0.33035714285714285,0.47435897435897434,0.33035714285714285,0.9357798165137615,0.9
Random_Forest_Tversky_Loss,,0.6153846153846154,0.5706806282722513,0.9732142857142857,0.7194719471947195,0.9732142857142857,0.24770642201834864,0.1
Logistic_Regression_Original_Loss,'precision',,,,,,,
Logistic_Regression_Dice_Loss,,0.6334841628959276,0.582010582010582,0.9821428571428571,0.7308970099667774,0.9821428571428571,0.27522935779816515,0.39473684210526316
Logistic_Regression_Focal_Loss,,0.497737556561086,1.0,0.008928571428571428,0.017699115044247787,0.008928571428571428,1.0,0.6894736842105262
Logistic_Regression_Tversky_Loss,,0.6334841628959276,0.582010582010582,0.9821428571428571,0.7308970099667774,0.9821428571428571,0.27522935779816515,0.39473684210526316
Weighted_Logistic_Regression_Original_Loss,'precision',,,,,,,
Weighted_Logistic_Regression_Dice_Loss,,0.6470588235294118,0.5913978494623656,0.9821428571428571,0.738255033557047,0.9821428571428571,0.30275229357798167,0.4368421052631579
Weighted_Logistic_Regression_Focal_Loss,,0.502262443438914,1.0,0.017857142857142856,0.03508771929824561,0.017857142857142856,1.0,0.6473684210526316
Weighted_Logistic_Regression_Tversky_Loss,,0.6470588235294118,0.5913978494623656,0.9821428571428571,0.738255033557047,0.9821428571428571,0.30275229357798167,0.4368421052631579
