kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,annual_mean_temperature,mean_diurnal_range,isothermality,temperature_seasonality,max_temperature_warmest_month,min_temperature_coldest_month,temperature_annual_range,mean_temperature_wettest_quarter,mean_temperature_driest_quarter,mean_temperature_warmest_quarter,mean_temperature_coldest_quarter,annual_precipitation,precipitation_wettest_month,precipitation_driest_month,precipitation_seasonality,precipitation_wettest_quarter,precipitation_driest_quarter,precipitation_warmest_quarter,precipitation_coldest_quarter,aridity_index,topsoil_ph,subsoil_ph,topsoil_texture,subsoil_texture,elevation,reliability_score
Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe vera,22.879329,84.135103,0.8361344537815126,0.5420560747663551,0.7317073170731707,0.1326380368098159,0.6904761904761905,0.8105849582172702,0.3299319727891156,0.7805555555555556,0.803448275862069,0.7040358744394619,0.8742138364779874,0.0798175598631698,0.0597433841218925,0.048780487804878,0.3692307692307692,0.0617509648588259,0.072289156626506,0.0396868250539956,0.0135635018495684,0.0507520217670622,0.7710843311198514,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.1837883478750351,0.5322224688688151
Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Piper nigrum,11.77201,78.200877,0.8854166666666666,0.5514018691588785,0.68,0.1369532987398072,0.7515527950310559,0.8264150943396227,0.3671641791044776,0.7686567164179104,0.8852140077821011,0.7830188679245284,0.9117043121149896,0.0799398194583751,0.0872434017595308,0.0,0.4761904761904761,0.067139899438036,0.0307692307692307,0.0214972656986611,0.0069708491761723,0.0672035161592721,0.746987911661265,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.1051406054092781,0.5375213485686295
Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus auriculata,17.991129,79.590233,0.8804071246819338,0.7647058823529411,0.3235294117647059,0.5858567036243362,0.9211267605633804,0.6717267552182163,0.7428571428571429,0.9193205944798302,0.7811244979919679,0.9176470588235294,0.7566462167689162,0.0727019221193108,0.0798395916879329,0.0222222222222222,0.7337278106508875,0.0814945572227125,0.065359477124183,0.0514457378895982,0.0133277800916284,0.0562563455681014,0.746987911661265,0.746987911661265,0.6666666666666666,0.3846153846153846,0.045674740484429,0.5523457805731138
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Chloris,Chloris barbata,12.572075,76.83341,0.8880208333333334,0.5233644859813084,0.78,0.1265752409191994,0.7391304347826086,0.8584905660377359,0.3044776119402985,0.7686567164179104,0.8891050583657587,0.779874213836478,0.9137577002053388,0.0611835506519558,0.0582844574780058,0.0454545454545454,0.4285714285714285,0.046435965690624,0.0564102564102564,0.0288515934376767,0.0139416983523447,0.0460727513024235,0.7710843311198514,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.1266344259358767,0.5412938394452056
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Oryza,Oryza sativa,23.25,87.06667,0.771875,0.6330275229357798,0.42,0.4842304060434372,0.784375,0.623608017817372,0.6542056074766355,0.851685393258427,0.5706666666666667,0.7762711864406779,0.6885245901639344,0.1872866037356899,0.2139978013924514,0.4285714285714285,0.7058823529411765,0.2080745341614907,0.5098039215686274,0.1369216241737488,0.0354687929612317,0.1660148097763074,0.7951806931281792,0.8433734745950935,0.6666666666666666,0.6923076923076923,0.1321238414513902,0.5262203633872922
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Calophyllaceae,Poeciloneuron,Poeciloneuron indicum,10.328827,76.93266,0.9070422535211268,0.2857142857142857,0.782608695652174,0.0805990738003744,0.717201166180758,0.9134808853118712,0.1611940298507462,0.8232662192393736,0.9104166666666668,0.7948717948717948,0.9539473684210528,0.4630270408817121,0.4866310160427807,0.0212765957446808,0.6090225563909775,0.4891013384321224,0.0895522388059701,0.0747732287325324,0.4900718208702999,0.3750319588005406,0.5783132627024533,0.5783132627024533,0.6666666666666666,0.3846153846153846,0.0399810366624525,0.5418104406793144
Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Spathoglottis,Spathoglottis plicata,8.476667,76.9625,0.8831168831168831,0.7407407407407407,0.3877551020408163,0.539273607748184,0.9413793103448276,0.6577777777777778,0.7850162866449512,0.9248826291079812,0.9574468085106383,0.91015625,0.7456359102244389,0.0779746835443038,0.100297176820208,0.0465116279069767,0.7153846153846154,0.0939687267311988,0.0833333333333333,0.0544554455445544,0.0084258117550349,0.0564091510915417,0.7951806931281792,0.8433734745950935,0.6666666666666666,0.6923076923076923,0.0315205327413984,0.557882175381648
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Aeschynomene,Aeschynomene americana,13.347952,74.811618,0.9578544061302682,0.3177570093457944,0.5909090909090909,0.2012169966996699,0.753968253968254,0.91871921182266,0.2442996742671009,0.8427230046948356,0.8875,0.8430493273542601,0.9391534391534392,0.1052951917224589,0.0962109955423477,0.1860465116279069,0.3769230769230769,0.0893521965748324,0.1861702127659574,0.0287509520182787,0.0357583230579531,0.0764944666532899,0.6506024061776953,0.6265059867191088,0.3333333333333333,0.9230769230769232,0.0154798761609907,0.5576396560105441
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chromolaena,Chromolaena odorata,12.011597,75.591125,0.9464788732394366,0.8392857142857143,0.5434782608695652,0.3530397083456498,0.9854227405247812,0.7706237424547284,0.6477611940298508,0.8814317673378076,0.9520833333333332,0.9551282051282052,0.8947368421052632,0.0908624887863642,0.0888523241464418,0.0212765957446808,0.6541353383458647,0.102868068833652,0.0348258706467661,0.032606030889924,0.0059146599070553,0.0508119338788751,0.9518072185330858,0.9759036379916722,1.0,0.2307692307692307,0.0331858407079646,0.5677528941091411
Plantae,Tracheophyta,Magnoliopsida,Santalales,Santalaceae,Santalum,Santalum album,13.734,75.629,0.7938931297709924,0.5700934579439252,0.7111111111111111,0.1518151815181518,0.696551724137931,0.7733990147783252,0.3517915309446254,0.7816901408450704,0.7747747747747747,0.6875,0.8465608465608465,0.0607628322174883,0.0527488855869242,0.0232558139534883,0.3846153846153846,0.0542069992553983,0.0319148936170212,0.0161843107387661,0.0098643649815043,0.0480019756440136,0.746987911661265,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.2127368180780643,0.5309229996948335
