model_loss,accuracy,optimal_threshold,tpr,tnr,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
Random_Forest_Original_Loss,0.9876543209876543,0.5,1.0,0.975,0.9880952380952381,0.9875,0.9876467896904072,81.0,0.9879482657260434,0.9876543209876543,0.9876505553390308,81.0
Random_Forest_Dice_Loss,0.9876543209876543,0.5210526315789473,1.0,0.975,0.9880952380952381,0.9875,0.9876467896904072,81.0,0.9879482657260434,0.9876543209876543,0.9876505553390308,81.0
Random_Forest_Focal_Loss,0.9876543209876543,0.6052631578947368,0.975609756097561,1.0,0.9878048780487805,0.9878048780487805,0.9876543209876543,81.0,0.9879554351099067,0.9876543209876543,0.9876543209876543,81.0
Random_Forest_Tversky_Loss,0.9876543209876543,0.5210526315789473,1.0,0.975,0.9880952380952381,0.9875,0.9876467896904072,81.0,0.9879482657260434,0.9876543209876543,0.9876505553390308,81.0
Logistic_Regression_Original_Loss,0.9135802469135802,0.5,0.975609756097561,0.85,0.9204968944099379,0.9128048780487805,0.913103448275862,81.0,0.9198681082739053,0.9135802469135802,0.9131829147154817,81.0
Logistic_Regression_Dice_Loss,0.9382716049382716,0.6473684210526316,0.975609756097561,0.9,0.941031941031941,0.9378048780487804,0.9381207028265852,81.0,0.9406376073042739,0.9382716049382716,0.9381584283545067,81.0
Logistic_Regression_Focal_Loss,0.9135802469135802,0.9,0.8536585365853658,0.975,0.9194444444444445,0.9143292682926829,0.9133689839572192,81.0,0.9200960219478738,0.9135802469135802,0.9133161682181289,81.0
Logistic_Regression_Tversky_Loss,0.9259259259259259,0.1,1.0,0.85,0.9361702127659575,0.925,0.9253685503685504,81.0,0.9353821907013397,0.9259259259259259,0.9254481754481755,81.0
Weighted_Logistic_Regression_Original_Loss,0.9135802469135802,0.5,0.975609756097561,0.85,0.9204968944099379,0.9128048780487805,0.913103448275862,81.0,0.9198681082739053,0.9135802469135802,0.9131829147154817,81.0
Weighted_Logistic_Regression_Dice_Loss,0.9382716049382716,0.6473684210526316,0.975609756097561,0.9,0.941031941031941,0.9378048780487804,0.9381207028265852,81.0,0.9406376073042739,0.9382716049382716,0.9381584283545067,81.0
Weighted_Logistic_Regression_Focal_Loss,0.9135802469135802,0.9,0.8536585365853658,0.975,0.9194444444444445,0.9143292682926829,0.9133689839572192,81.0,0.9200960219478738,0.9135802469135802,0.9133161682181289,81.0
Weighted_Logistic_Regression_Tversky_Loss,0.9259259259259259,0.1,1.0,0.85,0.9361702127659575,0.925,0.9253685503685504,81.0,0.9353821907013397,0.9259259259259259,0.9254481754481755,81.0
