model_loss,accuracy,optimal_threshold,tpr,tnr,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
Random_Forest_Original_Loss,0.98,0.5,1.0,0.96,0.9807692307692308,0.98,0.9799919967987194,100.0,0.9807692307692308,0.98,0.9799919967987194,100.0
Random_Forest_Dice_Loss,0.99,0.5210526315789473,1.0,0.98,0.9901960784313726,0.99,0.9899989998999901,100.0,0.9901960784313725,0.99,0.98999899989999,100.0
Random_Forest_Focal_Loss,0.99,0.6473684210526316,0.98,1.0,0.9901960784313726,0.99,0.9899989998999901,100.0,0.9901960784313725,0.99,0.98999899989999,100.0
Random_Forest_Tversky_Loss,0.99,0.5210526315789473,1.0,0.98,0.9901960784313726,0.99,0.9899989998999901,100.0,0.9901960784313725,0.99,0.98999899989999,100.0
Logistic_Regression_Original_Loss,0.94,0.5,1.0,0.88,0.9464285714285714,0.94,0.9397832195905259,100.0,0.9464285714285714,0.94,0.9397832195905259,100.0
Logistic_Regression_Dice_Loss,0.98,0.6052631578947368,1.0,0.96,0.9807692307692308,0.98,0.9799919967987194,100.0,0.9807692307692308,0.98,0.9799919967987194,100.0
Logistic_Regression_Focal_Loss,0.96,0.8578947368421053,0.94,0.98,0.9607371794871795,0.96,0.959983993597439,100.0,0.9607371794871794,0.96,0.959983993597439,100.0
Logistic_Regression_Tversky_Loss,0.98,0.6052631578947368,1.0,0.96,0.9807692307692308,0.98,0.9799919967987194,100.0,0.9807692307692308,0.98,0.9799919967987194,100.0
Weighted_Logistic_Regression_Original_Loss,0.94,0.5,1.0,0.88,0.9464285714285714,0.94,0.9397832195905259,100.0,0.9464285714285714,0.94,0.9397832195905259,100.0
Weighted_Logistic_Regression_Dice_Loss,0.98,0.6894736842105262,1.0,0.96,0.9807692307692308,0.98,0.9799919967987194,100.0,0.9807692307692308,0.98,0.9799919967987194,100.0
Weighted_Logistic_Regression_Focal_Loss,0.96,0.8578947368421053,0.94,0.98,0.9607371794871795,0.96,0.959983993597439,100.0,0.9607371794871794,0.96,0.959983993597439,100.0
Weighted_Logistic_Regression_Tversky_Loss,0.98,0.6894736842105262,1.0,0.96,0.9807692307692308,0.98,0.9799919967987194,100.0,0.9807692307692308,0.98,0.9799919967987194,100.0
