kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,annual_mean_temperature,mean_diurnal_range,isothermality,temperature_seasonality,max_temperature_warmest_month,min_temperature_coldest_month,temperature_annual_range,mean_temperature_wettest_quarter,mean_temperature_driest_quarter,mean_temperature_warmest_quarter,mean_temperature_coldest_quarter,annual_precipitation,precipitation_wettest_month,precipitation_driest_month,precipitation_seasonality,precipitation_wettest_quarter,precipitation_driest_quarter,precipitation_warmest_quarter,precipitation_coldest_quarter,aridity_index,topsoil_ph,subsoil_ph,topsoil_texture,subsoil_texture,elevation,reliability_score
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Senna,Senna alata,15.411855,74.189103,0.8148148148148148,0.7383177570093458,0.2682926829268293,0.8285633323887787,0.8883720930232558,0.4933333333333333,0.8402777777777778,0.9032258064516128,0.9128787878787878,0.898936170212766,0.6254180602006689,0.0796231575748366,0.0752644426362896,0.073170731707317,0.734375,0.0885448916408668,0.1646341463414634,0.0638740344622697,0.0067831449126413,0.0610719754977029,0.746987911661265,0.746987911661265,0.6666666666666666,0.3846153846153846,0.0746159473299195,0.5817630182117499
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Barleria,Barleria prionitis,22.988895,87.00537,0.9215116279069768,0.5877192982456141,0.5208333333333334,0.2843797086891009,0.889589905362776,0.7916666666666666,0.5131195335276968,0.8801955990220048,0.8060453400503779,0.8939929328621908,0.8896551724137931,0.1117263843648208,0.0627498001598721,0.0512820512820512,0.465648854961832,0.0908723747980613,0.066420664206642,0.056371576022231,0.0061664953751284,0.0730438313748382,0.7710843311198514,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.1071217202604064,0.5296178177443639
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tecoma,Tecoma stans,16.036567,79.303513,0.890625,0.7663551401869159,0.48,0.4121571534469977,0.8850931677018633,0.7132075471698113,0.6975308641975309,0.835,0.754863813229572,0.8949044585987261,0.8172484599589322,0.0905554691146724,0.1007371007371007,0.0227272727272727,0.8174603174603174,0.1084543125533731,0.0268817204301075,0.0153383458646616,0.0012351778656126,0.041007296024576,0.7951806931281792,0.8433734745950935,0.6666666666666666,0.6923076923076923,0.0875873186458893,0.5574999970780299
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia pulcherrima,10.231497,77.494534,0.8491620111731844,0.543859649122807,0.7708333333333334,0.1426569226148763,0.7098765432098766,0.808,0.3343023255813953,0.7966903073286052,0.8491379310344828,0.7397260273972602,0.8769230769230769,0.1218042664061227,0.0643485211830535,0.0256410256410256,0.3435114503816794,0.0819870759289176,0.044280442804428,0.0507347795661301,0.0152075626798191,0.0800486845800955,0.7710843311198514,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.1704396632366698,0.5140640912968831
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Mecardonia,Mecardonia procumbens,21.905792,87.537445,0.7815126050420168,0.5700934579439252,0.7073170731707317,0.1433128834355828,0.6468253968253969,0.767379679144385,0.3535353535353535,0.75,0.7541528239202658,0.6457399103139013,0.8343373493975904,0.0951302378255945,0.057576969212315,0.0232558139534883,0.3384615384615385,0.0766275778406793,0.0585106382978723,0.0296976241900647,0.0137690094533497,0.0622208391301164,0.746987911661265,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.2493667323388685,0.5183863724776512
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Delonix,Delonix regia,28.706944,77.1875,0.8956743002544529,0.6890756302521008,0.2941176470588235,0.5818503680238517,0.923943661971831,0.6793168880455408,0.7342857142857143,0.9235668789808916,0.7168674698795181,0.9382352941176472,0.7689161554192229,0.0720047804003585,0.0991615020051039,0.0166666666666666,0.8520710059171598,0.0879670491320976,0.0392156862745098,0.050694705219677,0.0064556434818825,0.0471187275020767,0.746987911661265,0.746987911661265,0.6666666666666666,0.3846153846153846,0.038235294117647,0.5696587131079056
Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Actinodaphne,Actinodaphne wightiana,10.357664,76.891085,0.834733893557423,0.3035714285714285,0.875,0.0603015075376884,0.6268221574344023,0.8611670020120724,0.1462686567164179,0.7807606263982103,0.8458333333333333,0.6955128205128205,0.8903508771929824,0.2301678841471229,0.1657142857142857,0.4042553191489361,0.2932330827067669,0.1653319095924541,0.3681592039800995,0.0644765873988722,0.0516129032258064,0.2261932967613771,0.6024096247107811,0.6265059867191088,0.6666666666666666,0.3846153846153846,0.1332174462705436,0.4745263765811103
Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Phoenix,Phoenix dactylifera,10.276539,77.162086,0.9355742296918768,0.5357142857142857,0.6666666666666666,0.2104132069942366,0.8483965014577259,0.8651911468812877,0.3671641791044776,0.8641425389755011,0.9020833333333332,0.8685897435897436,0.915032679738562,0.0503234398782344,0.0427319211102994,0.0212765957446808,0.3777777777777777,0.0429155313351498,0.0497512437810945,0.021862779950231,0.0089490114464099,0.0344398531467457,0.7710843311198514,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.0726927939317319,0.52644666648261
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Barleria,Barleria cristata,18.555404,73.804463,0.9441340782122905,0.7631578947368421,0.5625,0.334968465311843,0.9192546583850932,0.758,0.5988372093023255,0.9302884615384616,0.9288793103448276,0.9315068493150684,0.8879120879120879,0.1452532160885849,0.1342925659472422,0.0,0.8320610687022901,0.1569063004846526,0.007380073800738,0.0384884534639608,0.000616522811344,0.0720672221702087,0.7951806931281792,0.8433734745950935,0.6666666666666666,0.6923076923076923,0.0087932647333956,0.5508845422029033
Plantae,Tracheophyta,Magnoliopsida,Malvales,Muntingiaceae,Muntingia,Muntingia calabura,13.01116,76.102642,0.8687150837988827,0.4298245614035088,0.5208333333333334,0.349184102512764,0.6645962732919255,0.732,0.3982558139534883,0.9158653846153846,0.7650862068965517,0.815068493150685,0.8131868131868132,0.2649405634261521,0.123101518784972,0.0769230769230769,0.366412213740458,0.178513731825525,0.1254612546125461,0.2592722183344996,0.0069872585285655,0.2478934556689448,0.5542168432438668,0.5783132627024533,0.6666666666666666,0.3846153846153846,0.0153414405986903,0.5039404639541061
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Morinda,Morinda citrifolia,10.904797,77.002999,0.8865546218487395,0.4018691588785046,0.8048780487804879,0.0705521472392638,0.6746031746031746,0.8983957219251337,0.2121212121212121,0.8111111111111111,0.8604651162790697,0.7309417040358744,0.9397590361445785,0.0723386183465458,0.0503798480607756,0.1627906976744186,0.2923076923076923,0.0525677315002021,0.1573033707865168,0.0299676025917926,0.0337032470201397,0.0669803031412462,0.7710843311198514,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.1108922037714607,0.5047096844476335
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Simaroubaceae,Ailanthus,Ailanthus excelsa,10.586676,78.202866,0.947075208913649,0.2105263157894736,0.8571428571428571,0.0602875557759048,0.6975308641975309,0.948,0.1191860465116279,0.8648018648018648,0.9356223175965666,0.826530612244898,0.9824175824175824,0.5098591549295775,0.4684252597921662,0.0384615384615384,0.6466165413533834,0.5407915993537964,0.044280442804428,0.0881246641590542,0.4334155363748458,0.3918903330000769,0.5903614437066171,0.6024096247107811,0.6666666666666666,0.2307692307692307,0.0083876980428704,0.49931405355132424
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Burseraceae,Canarium,Canarium strictum,10.333314,76.841682,0.943661971830986,0.1696428571428571,0.9565217391304348,0.0447502548419979,0.6997084548104956,0.9758064516129032,0.0538922155688622,0.8523489932885906,0.93125,0.8193548387096774,0.9846491228070176,0.4054850698449314,0.2912381735911147,0.5106382978723404,0.3533834586466165,0.3309751434034417,0.5707070707070707,0.1345918117185584,0.3711449091677228,0.2997735490704554,0.6506024061776953,0.6265059867191088,0.3333333333333333,0.9230769230769232,0.0020543615676359,0.4859296663848542
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Justicia,Justicia adhatoda,27.370384,76.329858,0.9275766016713092,0.5877192982456141,0.5208333333333334,0.2878165982580838,0.8950617283950617,0.808,0.5087209302325582,0.8694638694638694,0.8347639484978541,0.9047619047619048,0.8967032967032967,0.1169186233515599,0.0711430855315747,0.0256410256410256,0.4962406015037593,0.098546042003231,0.047970479704797,0.047588629830725,0.0051376900945334,0.0632207445088698,0.7710843311198514,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.0986020503261882,0.5311998981480237
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,Croton bonplandianus,12.089293,77.907225,0.9120370370370372,0.7663551401869159,0.4146341463414634,0.4565032587135166,0.9627906976744186,0.6766666666666666,0.7048611111111112,0.8064516129032258,0.9166666666666666,0.9109947643979056,0.842809364548495,0.0829275279289601,0.0634662327095199,0.0975609756097561,0.625,0.0817337461300309,0.1036585365853658,0.0319264069264069,0.0047276464542651,0.0412123731599931,0.9518072185330858,0.9759036379916722,1.0,0.2307692307692307,0.1119239209948793,0.5695304472426335
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tridax,Tridax procumbens,9.174841,76.501335,0.840782122905028,0.543859649122807,0.75,0.144559014916408,0.7111801242236024,0.802,0.3401162790697674,0.8052884615384616,0.8426724137931034,0.7328767123287672,0.8703296703296703,0.1191988275525158,0.0607513988808952,0.0256410256410256,0.3587786259541984,0.0815831987075929,0.040590405904059,0.0465360391882435,0.0152075626798191,0.083793652279749,0.7710843311198514,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.1842843779232928,0.5145665895471191
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Urena,Urena procumbens,9.797436,76.288904,0.9533169533169532,0.1926605504587156,0.7575757575757576,0.0406063887384948,0.7340153452685422,0.966722129783694,0.0620842572062084,0.8377777777777777,0.9421768707482994,0.8429752066115702,0.9876325088339224,0.3398343294537066,0.2823436885568226,0.264367816091954,0.3740458015267175,0.2736711607004494,0.376271186440678,0.111839491458085,0.2778462803123716,0.2584356189787675,0.6506024061776953,0.6265059867191088,0.3333333333333333,0.9230769230769232,0.000820008200082,0.48422558310372793
Plantae,Tracheophyta,Magnoliopsida,Ericales,Sapotaceae,Xantolis,Xantolis tomentosa,19.016034,73.28018,0.8722358722358723,0.4587155963302752,0.5454545454545454,0.11132918245804,0.731457800511509,0.8286189683860233,0.2439024390243902,0.7977777777777778,0.858843537414966,0.7878787878787878,0.901060070671378,0.4508755373807276,0.7086118757373181,0.0,0.931297709923664,0.5597396559739656,0.0033898305084745,0.124751688518077,0.0008220304151253,0.4291125115906269,0.746987911661265,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.098810988109881,0.5224951074686919
Plantae,Tracheophyta,Magnoliopsida,Brassicales,Moringaceae,Moringa,Moringa oleifera,28.416305,77.043112,0.9274809160305344,0.8037383177570093,0.5111111111111111,0.3629331683168317,0.9172413793103448,0.7044334975369458,0.6514657980456026,0.9061032863849764,0.8858858858858859,0.90234375,0.8492063492063492,0.0656319740312436,0.0947251114413075,0.0,0.8307692307692308,0.0895011169024571,0.0159574468085106,0.0118050266565118,0.0008220304151253,0.0403154856534288,0.7951806931281792,0.8433734745950935,0.6666666666666666,0.6923076923076923,0.0125542113672677,0.5600286104292935
Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica oleracea,23.248249,87.135277,0.8277310924369747,0.7850467289719626,0.4146341463414634,0.4369325153374233,0.8888888888888888,0.5867507886435331,0.7291666666666666,0.7744107744107744,0.8103448275862069,0.8340807174887892,0.7516556291390728,0.1009594730058714,0.0874694873881204,0.024390243902439,0.75,0.12133718530747,0.0426829268292682,0.0189393939393939,0.0032881216605014,0.0568394399198805,0.9518072185330858,0.9759036379916722,1.0,0.2307692307692307,0.1429777652687869,0.5734324444138545
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Mangifera,Mangifera indica,21.260707,72.967287,0.8781512605042017,0.4672897196261682,0.3414634146341463,0.3774233128834355,0.7222222222222222,0.7058823529411765,0.494949494949495,0.9,0.6511627906976745,0.7937219730941704,0.8012048192771084,0.2148924122310306,0.1279488204718112,0.1395348837209302,0.4307692307692308,0.1831783259199353,0.2191011235955056,0.1187904967602591,0.0080147965474722,0.1611261624075565,0.7951806931281792,0.8433734745950935,0.6666666666666666,0.6923076923076923,0.0045032367013791,0.5173184947289915
