kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,annual_mean_temperature,mean_diurnal_range,isothermality,temperature_seasonality,max_temperature_warmest_month,min_temperature_coldest_month,temperature_annual_range,mean_temperature_wettest_quarter,mean_temperature_driest_quarter,mean_temperature_warmest_quarter,mean_temperature_coldest_quarter,annual_precipitation,precipitation_wettest_month,precipitation_driest_month,precipitation_seasonality,precipitation_wettest_quarter,precipitation_driest_quarter,precipitation_warmest_quarter,precipitation_coldest_quarter,aridity_index,topsoil_ph,subsoil_ph,topsoil_texture,subsoil_texture,elevation,reliability_score
Plantae,Tracheophyta,Magnoliopsida,Zygophyllales,Zygophyllaceae,Tribulus,Tribulus terrestris,25.998607,72.432324,0.9159663865546218,0.8037383177570093,0.3414634146341463,0.5753374233128834,0.9563492063492064,0.6267409470752089,0.782312925170068,0.9333333333333332,0.6275862068965518,0.9417040358744396,0.7578616352201258,0.0141106043329532,0.024458700882117,0.024390243902439,0.7615384615384615,0.030062969733902,0.0304878048780487,0.0232181425485961,0.0010275380189066,0.005857455974605,0.9879517615455774,1.0,0.6666666666666666,0.6923076923076923,0.0394033211370672,0.5506543064386654
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Clerodendrum,Clerodendrum infortunatum,22.795652,85.60041,0.8645833333333334,0.897196261682243,0.44,0.6179577464788732,0.9345794392523364,0.6471698113207547,0.8652037617554859,0.915,0.7801556420233463,0.929936305732484,0.7351129363449692,0.088224368499257,0.0772921108742004,0.0930232558139534,0.6349206349206349,0.0888211858448558,0.1666666666666666,0.0660565061679267,0.0129227385207588,0.0809326133774462,0.9518072185330858,0.9638553995372496,0.6666666666666666,0.3846153846153846,0.0408382590005373,0.5436434052064244
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Oryza,Oryza rufipogon,22.05,81.5,0.2464985994397759,0.2410714285714285,0.0,1.0,0.3586626139817629,0.1980582524271844,0.9051724137931034,0.1397849462365591,0.3434343434343434,0.3741935483870968,0.1610169491525423,0.0454319019627378,0.0284671532846715,0.0666666666666666,0.1986301369863013,0.0282602296143656,0.088235294117647,0.0157835400225479,0.027280299875052,0.0498475938298592,0.9156626180703354,0.0,0.6666666666666666,0.0,0.6163141993957704,0.6473600989035823
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chromolaena,Chromolaena odorata,18.913328,81.868272,0.8956743002544529,0.5798319327731093,0.3676470588235294,0.2881766514488028,0.856338028169014,0.7647058823529411,0.5371428571428571,0.8259023354564756,0.8012048192771084,0.8529411764705882,0.8650306748466258,0.1459018026093018,0.1399927087130878,0.0333333333333333,0.6568047337278107,0.1440129449838187,0.0294117647058823,0.0615846789335336,0.0066638900458142,0.1032520075069993,0.7590361501156876,0.7349397306571012,0.3333333333333333,0.7692307692307693,0.1019031141868512,0.4953510408292973
Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Biophytum,Biophytum sensitivum,19.939029,83.14396,0.89272030651341,0.7850467289719626,0.4318181818181818,0.4023308580858086,0.9603174603174603,0.7019704433497537,0.7003257328990228,0.8661971830985915,0.875,0.9103139013452914,0.8359788359788359,0.0957597890038547,0.113670133729569,0.0465116279069767,0.7615384615384615,0.1233060312732688,0.0478723404255319,0.0177075399847677,0.0051376900945334,0.058837148281344,0.9518072185330858,0.9759036379916722,1.0,0.2307692307692307,0.0878131156768927,0.5360781608034272
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abelmoschus,Abelmoschus esculentus,29.604659,77.366718,0.8625954198473282,0.5378151260504201,0.5588235294117647,0.1462778347153638,0.7408450704225352,0.8159392789373814,0.3428571428571428,0.7855626326963907,0.8514056224899599,0.7588235294117647,0.8834355828220859,0.0848521063639079,0.0663507109004739,0.0055555555555555,0.4792899408284023,0.067372756693145,0.0212418300653594,0.0276004506196019,0.0152019991670137,0.057302402855121,0.746987911661265,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.1548442906574394,0.48228536322389776
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Setaria,Setaria pumila,25.630967,88.126018,0.9860724233983288,0.4649122807017544,0.8125,0.1637801581739913,0.8179012345679012,0.92,0.2732558139534883,0.902097902097902,0.9291845493562232,0.9047619047619048,0.9714285714285714,0.0935211267605633,0.0727418065547561,0.1025641025641025,0.3458646616541353,0.0743134087237479,0.1143911439114391,0.0346587855991402,0.0359638306617344,0.0493347688994847,0.8192771125867657,0.8915662560620077,1.0,0.2307692307692307,0.0272134203168685,0.5071645368183622
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Psidium,Psidium guajava,23.541721,84.819481,0.7605042016806722,0.616822429906542,0.2682926829268293,0.4968098159509202,0.8095238095238095,0.5933147632311978,0.6972789115646258,0.8055555555555556,0.5241379310344828,0.7668161434977578,0.6823899371069182,0.1479475484606613,0.1178829190056134,0.073170731707317,0.5692307692307692,0.1562055657119642,0.1686746987951807,0.0515658747300215,0.0086313193588162,0.1173758597233769,0.9156626180703354,0.0,0.6666666666666666,0.0,0.1919504643962848,0.5493428411695394
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Terminalia,Terminalia catappa,13.531123,77.740731,0.9025974025974026,0.6296296296296297,0.3673469387755102,0.4699273607748184,0.9517241379310344,0.7111111111111111,0.7166123778501629,0.9065420560747663,0.9867021276595744,0.914396887159533,0.7905236907730673,0.1077468354430379,0.1188707280832095,0.0697674418604651,0.6923076923076923,0.1268801191362621,0.1354166666666666,0.0253236862147753,0.0078092889436909,0.07603842719463,0.746987911661265,0.7349397306571012,0.3333333333333333,0.7692307692307693,0.037069922308546,0.5185105948197095
Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Leea,Leea indica,16.761063,73.791761,0.9217877094972068,0.5526315789473685,0.3541666666666667,0.4718190009009911,0.9161490683229814,0.736,0.627906976744186,0.9519230769230768,0.9008620689655172,0.934931506849315,0.8197802197802198,0.1335287412473538,0.0931254996003197,0.0128205128205128,0.6564885496183206,0.1282310177705977,0.07380073800738,0.0444366689993002,0.0057542129058775,0.1039228536653871,0.746987911661265,0.746987911661265,0.6666666666666666,0.3846153846153846,0.0181478016838166,0.5048730049584496
Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum virginianum,20.68,85.63,0.9847328244274808,0.453781512605042,0.6029411764705882,0.1582036709214571,0.8309859154929577,0.9258555133079848,0.2714285714285714,0.8822269807280514,0.927710843373494,0.8911764705882353,0.9713701431492844,0.0762872223882083,0.0721837404301859,0.0444444444444444,0.4792899408284023,0.0600176522506619,0.0506535947712418,0.0277882087870822,0.0362349021241149,0.0426114512506537,0.7710843311198514,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.0285467128027681,0.486311814578492
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Dodonaea,Dodonaea viscosa,14.233317,77.611619,0.9635416666666666,0.4766355140186916,0.84,0.1100815418828762,0.7950310559006211,0.9226415094339624,0.2567164179104477,0.8383084577114428,0.9396887159533074,0.8584905660377359,0.973305954825462,0.0647943831494483,0.0615835777126099,0.2272727272727272,0.3015873015873015,0.0476190476190476,0.2102564102564102,0.0262115783518762,0.0310519645120405,0.0427533002412749,0.7710843311198514,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.0408382590005373,0.49232786693745517
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tecoma,Tecoma stans,13.636332,78.45388,0.847887323943662,0.5357142857142857,0.7608695652173914,0.144535240040858,0.7056962025316456,0.8272357723577236,0.311178247734139,0.7986425339366516,0.85,0.7337883959044369,0.8771929824561403,0.0945790080738177,0.0658165364047717,0.0425531914893617,0.3458646616541353,0.0778202676864244,0.0505050505050505,0.032606030889924,0.0160540768905787,0.0660127495570533,0.7710843311198514,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.1806142034548944,0.48430329606509526
