Ecoregion,Average_Probability
Brahmaputra_Valley_semi_evergreen_forests,0.2676190476190476
Western_Himalayan_broadleaf_forests,0.07
Northeast_Himalayan_subalpine_conifer_forests,0.10285714285714284
South_Western_Ghats_montane_rain_forests,0.5823809523809524
Narmada_Valley_dry_deciduous_forests,0.4657142857142857
Mizoram_Manipur_Kachin_rain_forests,0.33809523809523806
Khathiar_Gir_dry_deciduous_forests,0.32476190476190475
Aravalli_west_thorn_scrub_forests,0.3428571428571428
Maldives_Lakshadweep_Chagos_Archipelago_tropical_moist_forests,0
East_Deccan_moist_deciduous_forests,0.3423809523809524
East_Deccan_dry_evergreen_forests,0.8733333333333333
Central_Deccan_Plateau_dry_deciduous_forests,0.39523809523809517
Eastern_Himalayan_broadleaf_forests,0.10666666666666667
Central_Tibetan_Plateau_alpine_steppe,0.11714285714285715
Terai_Duar_savanna_and_grasslands,0.44333333333333336
Nicobar_Islands_rain_forests,0.5466666666666666
Eastern_Himalayan_alpine_shrub_and_meadows,0.10666666666666666
North_Western_Ghats_montane_rain_forests,0.5457142857142857
Chhota_Nagpur_dry_deciduous_forests,0.32333333333333336
Rann_of_Kutch_seasonal_salt_marsh,0.3090476190476191
Northwestern_Himalayan_alpine_shrub_and_meadows,0.034761904761904765
Upper_Gangetic_Plains_moist_deciduous_forests,0.4214285714285715
North_Deccan_dry_deciduous_forests,0.40523809523809523
Northeast_India_Myanmar_pine_forests,0.1676190476190476
Sundarbans_mangroves,0.5828571428571429
Karakoram_West_Tibetan_Plateau_alpine_steppe,0.07190476190476193
Baluchistan_xeric_woodlands,0.16238095238095238
Indus_River_Delta_Arabian_Sea_mangroves,0
Meghalaya_subtropical_forests,0.31190476190476185
Chin_Hills_Arakan_Yoma_montane_forests,0.488095238095238
North_Western_Ghats_moist_deciduous_forests,0.7661904761904762
Northern_Triangle_temperate_forests,0.08571428571428574
Malabar_Coast_moist_forests,0.8161904761904762
Andaman_Islands_rain_forests,0.7895238095238096
Western_Himalayan_alpine_shrub_and_meadows,0.04047619047619048
Eastern_Himalayan_subalpine_conifer_forests,0.06714285714285714
Deccan_thorn_scrub_forests,0.6242857142857143
Western_Himalayan_subalpine_conifer_forests,0.05571428571428571
Lower_Gangetic_Plains_moist_deciduous_forests,0.5376190476190478
South_Western_Ghats_moist_deciduous_forests,0.8504761904761905
Thar_desert,0.2742857142857143
Godavari_Krishna_mangroves,0.8833333333333335
North_Tibetan_Plateau_Kunlun_Mountains_alpine_desert,0.17
Himalayan_subtropical_broadleaf_forests,0.33761904761904765
South_Deccan_Plateau_dry_deciduous_forests,0.8195238095238095
Orissa_semi_evergreen_forests,0.8971428571428571
Sundarbans_freshwater_swamp_forests,0.7023809523809526
Himalayan_subtropical_pine_forests,0.12142857142857144
