Ecoregion,Euclidean_Similarity,Cosine_Similarity,Average_Probability,Rank_Euclidean_Similarity,Rank_Average_Probability_Euclidean,Rank_Cosine_Similarity,Rank_Average_Probability_Cosine,Rank_Correlation_Euclidean,Rank_Correlation_Cosine
Andaman_Islands_rain_forests,0.4667,0.9231,0.9362,46.0,48.0,46.0,48.0,0.7498982225587295,0.777418917371417
East_Deccan_dry_evergreen_forests,0.3752,0.872,0.93,41.0,47.0,42.0,47.0,0.7498982225587295,0.777418917371417
Nicobar_Islands_rain_forests,0.2729,0.723,0.9029,35.0,46.0,37.0,46.0,0.7498982225587295,0.777418917371417
Orissa_semi_evergreen_forests,0.2984,0.735,0.8933,37.0,45.0,38.0,45.0,0.7498982225587295,0.777418917371417
South_Deccan_Plateau_dry_deciduous_forests,0.3794,0.8517,0.8762,42.0,44.0,41.0,44.0,0.7498982225587295,0.777418917371417
Godavari_Krishna_mangroves,0.3347,0.8127,0.8681,40.0,42.5,40.0,42.5,0.7498982225587295,0.777418917371417
Malabar_Coast_moist_forests,1.0,1.0,0.8681,48.0,42.5,48.0,42.5,0.7498982225587295,0.777418917371417
South_Western_Ghats_moist_deciduous_forests,0.5018,0.9444,0.8224,47.0,41.0,47.0,41.0,0.7498982225587295,0.777418917371417
South_Western_Ghats_montane_rain_forests,0.4181,0.8884,0.7981,44.0,40.0,44.0,40.0,0.7498982225587295,0.777418917371417
Deccan_thorn_scrub_forests,0.3171,0.799,0.7767,39.0,39.0,39.0,39.0,0.7498982225587295,0.777418917371417
Sundarbans_freshwater_swamp_forests,0.2537,0.6523,0.7581,33.0,38.0,32.0,38.0,0.7498982225587295,0.777418917371417
North_Western_Ghats_moist_deciduous_forests,0.4083,0.8852,0.731,43.0,37.0,43.0,37.0,0.7498982225587295,0.777418917371417
North_Deccan_dry_deciduous_forests,0.2286,0.6212,0.729,25.0,36.0,30.0,36.0,0.7498982225587295,0.777418917371417
Central_Deccan_Plateau_dry_deciduous_forests,0.2437,0.6975,0.7186,31.0,35.0,35.0,35.0,0.7498982225587295,0.777418917371417
Sundarbans_mangroves,0.2801,0.6744,0.7133,36.0,34.0,34.0,34.0,0.7498982225587295,0.777418917371417
North_Western_Ghats_montane_rain_forests,0.439,0.9058,0.6938,45.0,33.0,45.0,33.0,0.7498982225587295,0.777418917371417
Lower_Gangetic_Plains_moist_deciduous_forests,0.2341,0.6134,0.6676,29.0,32.0,29.0,32.0,0.7498982225587295,0.777418917371417
East_Deccan_moist_deciduous_forests,0.2334,0.6217,0.6557,28.0,31.0,31.0,31.0,0.7498982225587295,0.777418917371417
Chhota_Nagpur_dry_deciduous_forests,0.2023,0.5336,0.6538,23.0,30.0,23.0,30.0,0.7498982225587295,0.777418917371417
Terai_Duar_savanna_and_grasslands,0.1992,0.5222,0.6162,22.0,29.0,21.0,29.0,0.7498982225587295,0.777418917371417
Narmada_Valley_dry_deciduous_forests,0.2063,0.6036,0.5743,24.0,28.0,28.0,28.0,0.7498982225587295,0.777418917371417
Meghalaya_subtropical_forests,0.233,0.5249,0.5576,26.5,27.0,22.0,27.0,0.7498982225587295,0.777418917371417
Upper_Gangetic_Plains_moist_deciduous_forests,0.1704,0.5035,0.5429,17.0,26.0,19.5,26.0,0.7498982225587295,0.777418917371417
