Ecoregion,Average_Probability
Brahmaputra_Valley_semi_evergreen_forests,0.38095238095238093
Western_Himalayan_broadleaf_forests,0.32
Northeast_Himalayan_subalpine_conifer_forests,0.32857142857142857
South_Western_Ghats_montane_rain_forests,0.41761904761904767
Narmada_Valley_dry_deciduous_forests,0.46619047619047616
Mizoram_Manipur_Kachin_rain_forests,0.4342857142857143
Khathiar_Gir_dry_deciduous_forests,0.49809523809523815
Aravalli_west_thorn_scrub_forests,0.46761904761904766
Maldives_Lakshadweep_Chagos_Archipelago_tropical_moist_forests,0
East_Deccan_moist_deciduous_forests,0.4533333333333333
East_Deccan_dry_evergreen_forests,0.47714285714285704
Central_Deccan_Plateau_dry_deciduous_forests,0.47523809523809524
Eastern_Himalayan_broadleaf_forests,0.35952380952380947
Central_Tibetan_Plateau_alpine_steppe,0.30666666666666675
Terai_Duar_savanna_and_grasslands,0.44476190476190475
Nicobar_Islands_rain_forests,0.5052380952380952
Eastern_Himalayan_alpine_shrub_and_meadows,0.3166666666666667
North_Western_Ghats_montane_rain_forests,0.30619047619047624
Chhota_Nagpur_dry_deciduous_forests,0.5185714285714285
Rann_of_Kutch_seasonal_salt_marsh,0.5652380952380953
Northwestern_Himalayan_alpine_shrub_and_meadows,0.34
Upper_Gangetic_Plains_moist_deciduous_forests,0.5247619047619049
North_Deccan_dry_deciduous_forests,0.5114285714285715
Northeast_India_Myanmar_pine_forests,0.2795238095238095
Sundarbans_mangroves,0.4966666666666666
Karakoram_West_Tibetan_Plateau_alpine_steppe,0.3823809523809524
Baluchistan_xeric_woodlands,0.39571428571428574
Indus_River_Delta_Arabian_Sea_mangroves,0
Meghalaya_subtropical_forests,0.40380952380952373
Chin_Hills_Arakan_Yoma_montane_forests,0.33190476190476187
North_Western_Ghats_moist_deciduous_forests,0.4028571428571429
Northern_Triangle_temperate_forests,0.3114285714285715
Malabar_Coast_moist_forests,0.47619047619047616
Andaman_Islands_rain_forests,0.5014285714285714
Western_Himalayan_alpine_shrub_and_meadows,0.36428571428571427
Eastern_Himalayan_subalpine_conifer_forests,0.32666666666666666
Deccan_thorn_scrub_forests,0.44857142857142857
Western_Himalayan_subalpine_conifer_forests,0.3947619047619047
Lower_Gangetic_Plains_moist_deciduous_forests,0.5180952380952382
South_Western_Ghats_moist_deciduous_forests,0.39714285714285713
Thar_desert,0.5371428571428571
Godavari_Krishna_mangroves,0.5647619047619047
North_Tibetan_Plateau_Kunlun_Mountains_alpine_desert,0.3538095238095238
Himalayan_subtropical_broadleaf_forests,0.3828571428571429
South_Deccan_Plateau_dry_deciduous_forests,0.3619047619047619
Orissa_semi_evergreen_forests,0.560952380952381
Sundarbans_freshwater_swamp_forests,0.55
Himalayan_subtropical_pine_forests,0.37047619047619046
