ecoregion,genus,model,loss_function,model_loss,accuracy,tnr
Aravalli_west_thorn_scrub_forests,Macaranga,RF,Dice,RF_Dice,0.9,0.9
Central_Deccan_Plateau_dry_deciduous_forests,Macaranga,RF,Dice,RF_Dice,0.9166666666666666,0.9090909090909092
Deccan_thorn_scrub_forests,Macaranga,RF,Dice,RF_Dice,0.9166666666666666,0.9166666666666666
Khathiar_Gir_dry_deciduous_forests,Macaranga,RF,Dice,RF_Dice,0.9285714285714286,0.9230769230769232
Malabar_Coast_moist_forests,Macaranga,RF,Dice,RF_Dice,1.0,1.0
North_Western_Ghats_montane_rain_forests,Macaranga,RF,Dice,RF_Dice,0.9411764705882352,1.0
South_Deccan_Plateau_dry_deciduous_forests,Macaranga,RF,Dice,RF_Dice,0.8695652173913043,0.9047619047619048
South_Western_Ghats_moist_deciduous_forests,Macaranga,RF,Dice,RF_Dice,1.0,1.0
South_Western_Ghats_montane_rain_forests,Macaranga,RF,Dice,RF_Dice,0.8125,0.0
Upper_Gangetic_Plains_moist_deciduous_forests,Macaranga,RF,Dice,RF_Dice,0.8333333333333334,0.8333333333333334
