ecoregion,species,model,loss_function,model_loss,accuracy,tpr
Aravalli_west_thorn_scrub_forests,Syzygium cumini,RF,Dice,RF_Dice,0.8620689655172413,0.625
Central_Deccan_Plateau_dry_deciduous_forests,Syzygium cumini,RF,Dice,RF_Dice,0.9666666666666668,1.0
Deccan_thorn_scrub_forests,Syzygium cumini,RF,Dice,RF_Dice,0.9285714285714286,0.8333333333333334
East_Deccan_dry_evergreen_forests,Syzygium cumini,RF,Dice,RF_Dice,0.9230769230769232,0.8333333333333334
East_Deccan_moist_deciduous_forests,Syzygium cumini,RF,Dice,RF_Dice,0.9655172413793104,1.0
Khathiar_Gir_dry_deciduous_forests,Syzygium cumini,RF,Dice,RF_Dice,0.96875,1.0
Lower_Gangetic_Plains_moist_deciduous_forests,Syzygium cumini,RF,Dice,RF_Dice,0.9411764705882352,1.0
Malabar_Coast_moist_forests,Syzygium cumini,RF,Dice,RF_Dice,0.9736842105263158,0.981132075471698
Narmada_Valley_dry_deciduous_forests,Syzygium cumini,RF,Dice,RF_Dice,1.0,1.0
North_Western_Ghats_moist_deciduous_forests,Syzygium cumini,RF,Dice,RF_Dice,0.9,0.8
North_Western_Ghats_montane_rain_forests,Syzygium cumini,RF,Dice,RF_Dice,0.9230769230769232,1.0
Orissa_semi_evergreen_forests,Syzygium cumini,RF,Dice,RF_Dice,0.9166666666666666,0.8
South_Deccan_Plateau_dry_deciduous_forests,Syzygium cumini,RF,Dice,RF_Dice,0.9523809523809524,0.92
South_Western_Ghats_moist_deciduous_forests,Syzygium cumini,RF,Dice,RF_Dice,0.95,1.0
South_Western_Ghats_montane_rain_forests,Syzygium cumini,RF,Dice,RF_Dice,0.9375,0.875
Upper_Gangetic_Plains_moist_deciduous_forests,Syzygium cumini,RF,Dice,RF_Dice,0.9166666666666666,1.0
