ecoregion,genus,model,loss_function,model_loss,accuracy,tnr
Aravalli_west_thorn_scrub_forests,Macaranga,RF,Dice,RF_Dice,0.6823880102885842,0.6556446320144496
Central_Deccan_Plateau_dry_deciduous_forests,Macaranga,RF,Dice,RF_Dice,0.7369594793862453,1.0
Deccan_thorn_scrub_forests,Macaranga,RF,Dice,RF_Dice,1.0,0.5776502160044295
Khathiar_Gir_dry_deciduous_forests,Macaranga,RF,Dice,RF_Dice,0.6879024479580094,0.5998614993277875
Malabar_Coast_moist_forests,Macaranga,RF,Dice,RF_Dice,1.0,1.0
North_Western_Ghats_montane_rain_forests,Macaranga,RF,Dice,RF_Dice,1.0,1.0
South_Deccan_Plateau_dry_deciduous_forests,Macaranga,RF,Dice,RF_Dice,1.0,1.0
South_Western_Ghats_moist_deciduous_forests,Macaranga,RF,Dice,RF_Dice,0.8149148354827371,0.6953696157177554
South_Western_Ghats_montane_rain_forests,Macaranga,RF,Dice,RF_Dice,0.9342820356240065,0.5
Upper_Gangetic_Plains_moist_deciduous_forests,Macaranga,RF,Dice,RF_Dice,0.6387889562767838,0.9076496777496634
