ecoregion,genus,model,loss_function,model_loss,accuracy,tnr
Aravalli_west_thorn_scrub_forests,Macaranga,RF,Dice,RF_Dice,0.6823880102885842,0.6556446320144496
Central_Deccan_Plateau_dry_deciduous_forests,Macaranga,RF,Dice,RF_Dice,0.7369594793862453,1.0
Deccan_thorn_scrub_forests,Macaranga,RF,Dice,RF_Dice,1.0,0.5776502160044295
Khathiar_Gir_dry_deciduous_forests,Macaranga,RF,Dice,RF_Dice,0.6879024479580094,0.5998614993277875
Malabar_Coast_moist_forests,Macaranga,RF,Dice,RF_Dice,1.0,1.0
North_Western_Ghats_montane_rain_forests,Macaranga,RF,Dice,RF_Dice,1.0,1.0
South_Deccan_Plateau_dry_deciduous_forests,Macaranga,RF,Dice,RF_Dice,1.0,1.0
South_Western_Ghats_moist_deciduous_forests,Macaranga,RF,Dice,RF_Dice,0.8149148354827371,0.6953696157177554
South_Western_Ghats_montane_rain_forests,Macaranga,RF,Dice,RF_Dice,0.9342820356240065,0.5
Upper_Gangetic_Plains_moist_deciduous_forests,Macaranga,RF,Dice,RF_Dice,0.6387889562767838,0.9076496777496634
Deccan_thorn_scrub_forests,Memecylon,RF,Dice,RF_Dice,0.7954466581298583,0.8249959410488161
East_Deccan_dry_evergreen_forests,Memecylon,RF,Dice,RF_Dice,0.5129427240324541,0.7496558585093499
Malabar_Coast_moist_forests,Memecylon,RF,Dice,RF_Dice,0.6920988323866842,1.0
North_Western_Ghats_moist_deciduous_forests,Memecylon,RF,Dice,RF_Dice,1.0,1.0
North_Western_Ghats_montane_rain_forests,Memecylon,RF,Dice,RF_Dice,0.8198982251684848,1.0
South_Deccan_Plateau_dry_deciduous_forests,Memecylon,RF,Dice,RF_Dice,0.8174627447638316,0.7155038988270315
South_Western_Ghats_montane_rain_forests,Memecylon,RF,Dice,RF_Dice,0.7886461147302843,0.8172927773361254
