ecoregion,count
Andaman_Islands_rain_forests,65
Aravalli_west_thorn_scrub_forests,26
Brahmaputra_Valley_semi_evergreen_forests,21
Central_Deccan_Plateau_dry_deciduous_forests,155
Chhota_Nagpur_dry_deciduous_forests,25
Deccan_thorn_scrub_forests,465
East_Deccan_dry_evergreen_forests,104
East_Deccan_moist_deciduous_forests,147
Eastern_Himalayan_broadleaf_forests,5
Himalayan_subtropical_pine_forests,9
Indus_River_Delta_Arabian_Sea_mangroves,2
Khathiar_Gir_dry_deciduous_forests,78
Lower_Gangetic_Plains_moist_deciduous_forests,40
Malabar_Coast_moist_forests,11800
Meghalaya_subtropical_forests,2
Mizoram_Manipur_Kachin_rain_forests,7
Narmada_Valley_dry_deciduous_forests,94
North_Deccan_dry_deciduous_forests,19
North_Western_Ghats_moist_deciduous_forests,45
North_Western_Ghats_montane_rain_forests,18
Orissa_semi_evergreen_forests,59
South_Deccan_Plateau_dry_deciduous_forests,260
South_Western_Ghats_moist_deciduous_forests,2172
South_Western_Ghats_montane_rain_forests,2130
Sundarbans_freshwater_swamp_forests,7
Sundarbans_mangroves,1
Terai_Duar_savanna_and_grasslands,13
Upper_Gangetic_Plains_moist_deciduous_forests,53
Western_Himalayan_broadleaf_forests,2
