species,concentration_index,endemicity_index
Abacopteris nudata,0.041666666666666664,0.6931471805599453
Abelia triflora,0.125,1.6769877743224173
Abelmoschus angulosus,0.14583333333333334,1.7200311866710414
Abelmoschus crinitus,0.10416666666666667,1.6094379124341005
Abelmoschus esculentus,0.625,2.8317370838595255
Abelmoschus ficulneus,0.20833333333333334,1.788084286828801
Abelmoschus manihot,0.3125,2.1662960448871886
Abelmoschus moschatus,0.3333333333333333,2.1762992023496244
Abelmoschus odishae,0.020833333333333332,0.0
Abelmoschus sagittifolius,0.14583333333333334,1.5065950881316383
Abies delavayi,0.0625,1.0986122886681096
Abies densa,0.125,1.2685639709321896
Abies forrestii,0.020833333333333332,0.0
Abies pindrow,0.3333333333333333,2.222359730662992
Abies spectabilis,0.20833333333333334,1.9792625211113914
Abildgaardia ovata,0.1875,1.7215455517353673
Abildgaardia triflora,0.041666666666666664,0.6931471805599453
Abroma augustum,0.25,2.1799469894390633
Abrus fruticulosus,0.125,1.5810937501718239
Abrus precatorius,0.5625,2.635461684194972
Abrus pulchellus,0.0625,1.0397207708399179
Abutilon auritum,0.020833333333333332,0.0
Abutilon bidentatum,0.08333333333333333,1.0589563396132504
Abutilon fruticosum,0.0625,1.0549201679861442
Abutilon glaucum,0.020833333333333332,0.0
Abutilon grandifolium,0.041666666666666664,0.6931471805599453
Abutilon hirtum,0.2708333333333333,1.9529755136938687
Abutilon indicum,0.4166666666666667,2.455757960935636
Abutilon mauritianum,0.020833333333333332,0.0
Abutilon pannosum,0.16666666666666666,1.8748667279568467
Abutilon persicum,0.20833333333333334,1.7363361440284475
Abutilon ramosum,0.041666666666666664,0.666278442414676
Abutilon ranadei,0.08333333333333333,1.2730283365896256
Abutilon theophrasti,0.25,2.4282736375228677
Acacia aneura,0.020833333333333332,0.0
Acacia auriculiformis,0.5,2.6603904936039715
Acacia calligera,0.020833333333333332,0.0
Acacia confusa,0.020833333333333332,0.0
Acacia dealbata,0.16666666666666666,1.7022031611336754
Acacia decurrens,0.08333333333333333,1.2424533248940002
Acacia elata,0.020833333333333332,0.34657359027997264
Acacia ferruginea,0.020833333333333332,0.0
Acacia holosericea,0.020833333333333332,0.0
Acacia longifolia,0.041666666666666664,0.5623351446188083
Acacia maidenii,0.020833333333333332,0.34657359027997264
Acacia mangium,0.2916666666666667,2.219410876628321
Acacia mearnsii,0.08333333333333333,1.1065717326085744
Acacia melanoxylon,0.125,1.3785771343208055
Acacia minutifolia,0.020833333333333332,0.0
Acacia neriifolia,0.020833333333333332,0.0
Acacia parramattensis,0.020833333333333332,0.0
Acacia pycnantha,0.020833333333333332,0.0
Acacia salicina,0.0,0.0
Acaciella angustissima,0.020833333333333332,0.0
Acaciella glauca,0.0625,1.0114042647073516
Acalypha australis,0.041666666666666664,0.6931471805599453
Acalypha brachystachya,0.10416666666666667,1.4750763110546947
Acalypha capitata,0.10416666666666667,1.4944032113796122
Acalypha chamaedrifolia,0.020833333333333332,0.0
Acalypha ciliata,0.1875,1.5585617635055233
Acalypha fruticosa,0.125,1.4978661367769954
Acalypha hispida,0.375,2.230707707242293
Acalypha indica,0.4791666666666667,2.6348485759757305
Acalypha integrifolia,0.020833333333333332,0.0
Acalypha lanceolata,0.14583333333333334,1.6924088629865501
Acalypha malabarica,0.125,1.4340416240807863
Acalypha paniculata,0.0625,1.0986122886681096
Acalypha racemosa,0.041666666666666664,0.6931471805599453
Acalypha spiciflora,0.08333333333333333,1.1269287948006759
Acalypha wilkesiana,0.5833333333333334,2.7179567567975846
Acampe carinata,0.08333333333333333,1.3862943611198906
Acampe ochracea,0.10416666666666667,1.4750763110546947
Acampe pachyglossa,0.020833333333333332,0.0
Acampe praemorsa,0.3541666666666667,1.8013979978462407
Acanthephippium striatum,0.020833333333333332,0.0
Acanthephippium sylhetense,0.020833333333333332,0.0
Acanthocalyx nepalensis,0.10416666666666667,1.267607627477591
Acanthocereus tetragonus,0.125,1.6957425341696346
Acanthocoleus gilvus,0.020833333333333332,0.0
Acanthocoleus javanicus,0.041666666666666664,0.6931471805599453
Acantholimon lycopodioides,0.041666666666666664,0.14898584649382846
Acanthophippium bicolor,0.0625,1.0397207708399179
Acanthophora nayadiformis,0.0,0.0
Acanthophora spicifera,0.020833333333333332,0.3218875824868201
Acanthophyllum cerastioides,0.1875,1.6635329704802266
Acanthophyllum sedifolium,0.041666666666666664,0.22371807606583377
Acanthospermum hispidum,0.2708333333333333,2.178445529282641
Acanthus ebracteatus,0.041666666666666664,0.6365141682948128
Acanthus ilicifolius,0.20833333333333334,1.1874930318430137
Acanthus leucostachyus,0.0625,1.0397207708399179
Acanthus mollis,0.020833333333333332,0.0
Acer acuminatum,0.10416666666666667,1.4677339293271523
Acer caesium,0.125,1.5808185358593017
Acer campbellii,0.041666666666666664,0.5623351446188083
Acer campestre,0.041666666666666664,0.6365141682948128
Acer cappadocicum,0.125,1.5709706349896106
Acer caudatum,0.14583333333333334,1.8866967846580787
Acer laevigatum,0.0625,1.0986122886681096
Acer laurinum,0.020833333333333332,0.0
Acer negundo,0.041666666666666664,0.410116318288409
Acer oblongum,0.2708333333333333,2.2038142492184996
Acer palmatum,0.041666666666666664,0.6931471805599453
Acer pectinatum,0.08333333333333333,1.3862943611198906
Acer pentapomicum,0.020833333333333332,0.0
Acer pseudoplatanus,0.020833333333333332,0.0
Acer sikkimense,0.10416666666666667,1.4941751382893085
Acer stachyophyllum,0.041666666666666664,0.6931471805599453
Acer sterculiaceum,0.25,2.152110548483421
Acer thomsonii,0.041666666666666664,0.6365141682948128
Acer wardii,0.020833333333333332,0.0
Acetabularia caliculus,0.0,0.0
Achillea alpina,0.020833333333333332,0.0
Achillea filipendulina,0.020833333333333332,0.0
Achillea impatiens,0.020833333333333332,0.0
Achillea millefolium,0.1875,1.9172155185650601
Achimenes longiflora,0.0625,1.0986122886681096
Achnatherum brandisii,0.0625,1.0986122886681096
Achnatherum jacquemontii,0.0625,1.0397207708399179
Achnatherum sibiricum,0.020833333333333332,0.0
Achyranthes aspera,0.5625,2.652032402728655
Achyranthes bidentata,0.16666666666666666,1.6604076234727194
Achyranthes coynei,0.0625,1.0296530140645737
Achyrospermum densiflorum,0.041666666666666664,0.6931471805599453
Acilepis anaimudica,0.020833333333333332,0.0
Acilepis aspera,0.0625,1.0986122886681096
Acilepis dendigulensis,0.041666666666666664,0.6730116670092565
Acilepis divergens,0.16666666666666666,1.7704607541166433
Acilepis fysonii,0.020833333333333332,0.0
Acilepis heynei,0.020833333333333332,0.0
Acilepis ornata,0.0625,1.0549201679861442
Acilepis peninsularis,0.020833333333333332,0.0
